section	target	spots	high_P4_spots	observed_neighbor_effect	null_median	permutation_p	alternative	P4_residual_r_squared	fdr_within_target
P1	fibrovascular	2702	676	0.10757375784027824	0.006466114500826361	0.0004997501249375312	greater	0.30186960411290087	0.0006663334999167083
P1	fibroblast_ecm	2702	676	0.0621807926789959	-0.0015253362936311632	0.00399800099950025	two-sided	0.30186960411290087	0.00399800099950025
P1	endothelial_angiogenic	2702	676	0.02571468164228391	0.0037031297150978693	0.0009995002498750624	two-sided	0.30186960411290087	0.001999000499750125
P1	malignant_epithelial	2702	676	-0.03777466092046655	-0.020349145640156996	0.020989505247376312	two-sided	0.30186960411290087	0.0559720139930035
P1	cd8_cytotoxic	2702	676	0.013339558424001932	0.0010084769722818673	0.0004997501249375312	two-sided	0.30186960411290087	0.0013326669998334165
P1	treg	2702	676	-8.89964438866575e-05	-0.0002094258014682729	0.9095452273863068	two-sided	0.30186960411290087	0.9095452273863068
P2	fibrovascular	2740	685	0.3402259236379916	0.14322529144775545	0.0004997501249375312	greater	0.12733621885244117	0.0006663334999167083
P2	fibroblast_ecm	2740	685	0.19299842742826856	0.08916119714507698	0.0004997501249375312	two-sided	0.12733621885244117	0.0006663334999167083
P2	endothelial_angiogenic	2740	685	0.0906073323242389	0.03413515338480751	0.0004997501249375312	two-sided	0.12733621885244117	0.0013326669998334165
P2	malignant_epithelial	2740	685	-0.08885786875860147	-0.09347595521296492	0.5622188905547226	two-sided	0.12733621885244117	0.7496251874062968
P2	cd8_cytotoxic	2740	685	0.015044608858828565	0.0054709597850368	0.0004997501249375312	two-sided	0.12733621885244117	0.0013326669998334165
P2	treg	2740	685	0.0015381128043455098	-0.0009130616687532001	0.010494752623688156	two-sided	0.12733621885244117	0.08395802098950525
P3	fibrovascular	999	250	0.16559345092303757	0.04704385801963948	0.00399800099950025	greater	0.2968281082506711	0.004569143999428857
P3	fibroblast_ecm	999	250	0.19700508993280663	0.028017289402182843	0.0004997501249375312	two-sided	0.2968281082506711	0.0006663334999167083
P3	endothelial_angiogenic	999	250	0.016809738429100024	0.015197592392068277	0.9035482258870565	two-sided	0.2968281082506711	0.9035482258870565
P3	malignant_epithelial	999	250	-0.1514964599218851	-0.1055147759422842	0.009995002498750625	two-sided	0.2968281082506711	0.0399800099950025
P3	cd8_cytotoxic	999	250	0.0167629192260568	0.01606823261393924	0.920039980009995	two-sided	0.2968281082506711	0.920039980009995
P3	treg	999	250	-0.0016896241964894296	0.004340198564659805	0.16991504247876063	two-sided	0.2968281082506711	0.33983008495752126
P4	fibrovascular	2051	513	0.19362339876851126	0.042262084928556744	0.0004997501249375312	greater	0.22277601952636383	0.0006663334999167083
P4	fibroblast_ecm	2051	513	0.1510750961496541	0.030817484081906876	0.0004997501249375312	two-sided	0.22277601952636383	0.0006663334999167083
P4	endothelial_angiogenic	2051	513	0.038487445567888245	0.009262089712454943	0.0004997501249375312	two-sided	0.22277601952636383	0.0013326669998334165
P4	malignant_epithelial	2051	513	-0.021788690252476428	-0.02341414450697965	0.8750624687656172	two-sided	0.22277601952636383	0.9110444777611194
P4	cd8_cytotoxic	2051	513	0.004784541114504676	0.0014837361433546175	0.09795102448775612	two-sided	0.22277601952636383	0.111944027986007
P4	treg	2051	513	0.0016952496467581655	0.00016889130307700014	0.23438280859570215	two-sided	0.22277601952636383	0.3691487589538564
P5	fibrovascular	1816	454	0.32771097660076765	0.0609084514344338	0.0004997501249375312	greater	0.3161321137835281	0.0006663334999167083
P5	fibroblast_ecm	1816	454	0.2592691854232825	0.03856804599524222	0.0004997501249375312	two-sided	0.3161321137835281	0.0006663334999167083
P5	endothelial_angiogenic	1816	454	0.06842784309219826	0.01775347747019375	0.0004997501249375312	two-sided	0.3161321137835281	0.0013326669998334165
