omitted_gene	retained_genes	patients_tumor_greater	median_paired_difference	minimum_patient_difference	maximum_patient_difference
none	13	2	0.068005405	-0.2046501	0.47943005
CD36	12	2	0.079865456	-0.12021676	0.5300727
CD52	12	2	0.009518802	-0.22717048	0.4213658
FABP5	12	2	0.06771903	-0.22170427	0.49908996
FBP1	12	2	0.06642465	-0.22170427	0.5063616
FN1	12	2	0.0857598	-0.22170427	0.48579478
HMOX1	12	2	0.031531796	-0.16041245	0.41545022
LYZ	12	2	0.049743548	-0.13905066	0.38975304
MARCO	12	2	0.069082096	-0.1501889	0.5193826
MT2A	12	2	0.044396758	-0.15816616	0.4386279
NUPR1	12	2	0.079651095	-0.22170427	0.51284885
S100A8	12	2	0.05936055	-0.22170427	0.55702686
SPP1	12	2	0.07367252	-0.23711331	0.46140134
TIMP1	12	2	0.04344113	-0.20035695	0.45202786
