patient	tissue	cluster	cells
BC1	BLOOD	1	105
BC1	BLOOD	3	37
BC1	BLOOD	4	211
BC1	BLOOD	5	1
BC1	BLOOD	6	67
BC1	BLOOD	8	1
BC1	BLOOD	9	5
BC1	BLOOD	11	1
BC1	BLOOD	12	2
BC1	BLOOD	16	4
BC1	BLOOD	19	726
BC1	BLOOD	20	886
BC1	BLOOD	21	6
BC1	BLOOD	24	10
BC1	BLOOD	25	1
BC1	BLOOD	27	2
BC1	BLOOD	29	2
BC1	BLOOD	30	52
BC1	BLOOD	35	289
BC1	BLOOD	36	135
BC1	BLOOD	38	11
BC1	BLOOD	39	71
BC1	BLOOD	42	161
BC1	BLOOD	53	1
BC1	BLOOD	56	1
BC1	BLOOD	64	2
BC1	NORMAL	1	10
BC1	NORMAL	2	128
BC1	NORMAL	3	2255
BC1	NORMAL	4	78
BC1	NORMAL	5	119
BC1	NORMAL	6	18
BC1	NORMAL	8	2
BC1	NORMAL	9	1
BC1	NORMAL	11	11
BC1	NORMAL	12	11
BC1	NORMAL	15	9
BC1	NORMAL	16	6
BC1	NORMAL	19	28
BC1	NORMAL	21	13
BC1	NORMAL	23	2
BC1	NORMAL	24	10
BC1	NORMAL	27	144
BC1	NORMAL	29	21
BC1	NORMAL	30	2
BC1	NORMAL	31	4
BC1	NORMAL	35	1
BC1	NORMAL	36	7
BC1	NORMAL	38	13
BC1	NORMAL	40	2
BC1	NORMAL	43	1
BC1	NORMAL	44	3
BC1	NORMAL	45	1
BC1	NORMAL	46	1
BC1	NORMAL	51	4
BC1	NORMAL	58	1
BC1	NORMAL	60	2
BC1	NORMAL	64	1
BC1	TUMOR	1	7
BC1	TUMOR	2	94
BC1	TUMOR	3	1558
BC1	TUMOR	4	41
BC1	TUMOR	5	210
BC1	TUMOR	6	252
BC1	TUMOR	8	21
BC1	TUMOR	9	7
BC1	TUMOR	11	7
BC1	TUMOR	12	6
BC1	TUMOR	15	13
BC1	TUMOR	16	3
BC1	TUMOR	19	5
BC1	TUMOR	20	3
BC1	TUMOR	21	16
BC1	TUMOR	23	3
BC1	TUMOR	24	13
BC1	TUMOR	25	1
BC1	TUMOR	27	206
BC1	TUMOR	29	1
BC1	TUMOR	31	7
BC1	TUMOR	35	2
BC1	TUMOR	38	30
BC1	TUMOR	39	6
BC1	TUMOR	41	1
BC1	TUMOR	42	2
BC1	TUMOR	43	1
BC1	TUMOR	44	9
BC1	TUMOR	45	5
BC1	TUMOR	46	3
BC1	TUMOR	49	1
BC1	TUMOR	51	9
BC1	TUMOR	58	2
BC1	TUMOR	60	4
BC1	TUMOR	64	1
BC1	TUMOR	76	9
BC1	TUMOR	81	1
BC1	TUMOR	92	1
BC2	LYMPHNODE	1	404
BC2	LYMPHNODE	2	2870
BC2	LYMPHNODE	3	72
BC2	LYMPHNODE	4	17
BC2	LYMPHNODE	5	150
BC2	LYMPHNODE	6	208
BC2	LYMPHNODE	8	998
BC2	LYMPHNODE	11	17
BC2	LYMPHNODE	12	75
BC2	LYMPHNODE	15	49
BC2	LYMPHNODE	16	165
BC2	LYMPHNODE	19	15
BC2	LYMPHNODE	21	14
BC2	LYMPHNODE	27	2
BC2	LYMPHNODE	29	2
BC2	LYMPHNODE	30	2
BC2	LYMPHNODE	38	1
BC2	LYMPHNODE	39	1
BC2	LYMPHNODE	40	2
BC2	LYMPHNODE	41	32
BC2	LYMPHNODE	43	18
BC2	LYMPHNODE	44	2
BC2	LYMPHNODE	46	4
BC2	LYMPHNODE	47	8
BC2	LYMPHNODE	50	6
BC2	LYMPHNODE	51	3
BC2	LYMPHNODE	53	5
BC2	LYMPHNODE	55	5
BC2	LYMPHNODE	57	5
BC2	LYMPHNODE	60	10
BC2	LYMPHNODE	76	1
BC2	LYMPHNODE	90	4
BC2	NORMAL	1	27
BC2	NORMAL	2	153
BC2	NORMAL	3	10
BC2	NORMAL	4	259
BC2	NORMAL	5	115
BC2	NORMAL	6	6
BC2	NORMAL	8	9
BC2	NORMAL	9	3
BC2	NORMAL	11	154
BC2	NORMAL	12	183
BC2	NORMAL	15	29
BC2	NORMAL	16	155
BC2	NORMAL	21	19
BC2	NORMAL	23	1
BC2	NORMAL	24	8
BC2	NORMAL	25	1
BC2	NORMAL	27	6
BC2	NORMAL	29	11
BC2	NORMAL	30	4
BC2	NORMAL	35	1
BC2	NORMAL	36	3
BC2	NORMAL	38	2
BC2	NORMAL	40	7
BC2	NORMAL	41	2
BC2	NORMAL	43	1
BC2	NORMAL	46	1
BC2	NORMAL	50	7
BC2	NORMAL	51	1
BC2	NORMAL	58	2
BC2	NORMAL	59	2
BC2	NORMAL	62	1
BC2	TUMOR	1	31
BC2	TUMOR	2	280
BC2	TUMOR	3	120
BC2	TUMOR	4	27
BC2	TUMOR	5	590
BC2	TUMOR	6	11
BC2	TUMOR	8	12
BC2	TUMOR	9	1
BC2	TUMOR	11	145
BC2	TUMOR	12	50
BC2	TUMOR	15	52
BC2	TUMOR	16	87
BC2	TUMOR	21	19
BC2	TUMOR	23	5
BC2	TUMOR	24	12
BC2	TUMOR	25	2
BC2	TUMOR	27	26
BC2	TUMOR	29	2
BC2	TUMOR	30	1
BC2	TUMOR	31	1
BC2	TUMOR	37	2
BC2	TUMOR	38	5
BC2	TUMOR	40	9
BC2	TUMOR	43	84
BC2	TUMOR	44	7
BC2	TUMOR	45	93
BC2	TUMOR	46	70
BC2	TUMOR	47	5
