cluster	macrophage_lineage_mean_log1p_count	macrophage_lineage_detected_fraction	macrophage_core_mean_log1p_count	macrophage_core_detected_fraction	lipid_lysosomal_mean_log1p_count	lipid_lysosomal_detected_fraction	spp1_matrix_mean_log1p_count	spp1_matrix_detected_fraction	monocyte_mean_log1p_count	monocyte_detected_fraction	dendritic_mean_log1p_count	dendritic_detected_fraction	t_cell_mean_log1p_count	t_cell_detected_fraction	b_cell_mean_log1p_count	b_cell_detected_fraction	discovery_P1_mean_log1p_count	discovery_P1_detected_fraction	discovery_P2_mean_log1p_count	discovery_P2_detected_fraction	discovery_P3_mean_log1p_count	discovery_P3_detected_fraction	discovery_P4_mean_log1p_count	discovery_P4_detected_fraction	discovery_P5_mean_log1p_count	discovery_P5_detected_fraction	discovery_P6_mean_log1p_count	discovery_P6_detected_fraction	cells
1	0.00049003615	0.0006057886470720216	0.013216931	0.016420798743549472	0.0082754465	0.010517164011667041	0.002644326	0.0034963727469897537	0.02038877	0.02636302445591205	0.00012422013	0.00016827462418667264	0.40891975	0.4083015481265425	0.15346788	0.1695086380973749	0.026147405	0.03231994615212026	0.09615574	0.10895221000673098	0.079872444	0.08640714980180988	0.12914845	0.13104105900830154	0.05583318	0.061468850497345	0.06650787	0.0748784683269763	8914
2	0.0030939355	0.004290091930541369	0.020623447	0.024284984678243107	0.012531799	0.014759959141981614	0.013314045	0.015628192032686415	0.02791566	0.03248212461695608	0.00041501422	0.0005788219271365339	0.5049429	0.42700715015321755	0.15273419	0.16073544433094997	0.040598746	0.04381341504937011	0.13410757	0.13255022131426628	0.08838134	0.0890909090909091	0.13435823	0.12966973101804563	0.08431507	0.08300987402110997	0.07062721	0.07088185223016683	4895
3	0.0014300107	0.0018679409209383143	0.016993783	0.018109252823631624	0.0057794107	0.006570373588184188	0.0018568644	0.0023530263538951634	0.008792812	0.010317115551694178	0.00017564546	0.0002534028381117868	0.40048182	0.35742832319721984	0.07973139	0.08357949609035621	0.03113539	0.03147263249348393	0.06491046	0.06804228207355922	0.053340606	0.05554590211410367	0.079694055	0.07977845351867942	0.05538313	0.05514769765421373	0.042203367	0.04304228207355922	4604
4	0.0009463697	0.001206030150753769	0.033442378	0.036683417085427134	0.008888554	0.010835427135678392	0.0032680153	0.004103852596314908	0.022933032	0.02868509212730318	0.0002612364	0.00037688442211055275	0.2228915	0.23462311557788945	0.14838961	0.1606532663316583	0.050885964	0.054505862646566164	0.09324566	0.1066750418760469	0.08672008	0.093785594639866	0.1360403	0.13585427135678393	0.08089544	0.08532663316582915	0.0818049	0.08863484087102177	3980
5	0.0030335223	0.004041051956382297	0.02570761	0.030708787684413087	0.011400536	0.014151699807568955	0.007964095	0.010156082959161854	0.02119563	0.025764378875347445	0.0005187118	0.0006948898866794953	0.43564075	0.41783194355355996	0.123773836	0.13361128928800514	0.069642626	0.06802437459910199	0.105830036	0.11685909771220869	0.086269416	0.09471883686123583	0.11709397	0.12687620269403466	0.118524335	0.1158007269617276	0.08491101	0.08510797519777635	3118
6	0.005954225	0.006820682068206821	0.009914362	0.011688668866886688	0.0059061646	0.00776952695269527	0.00706676	0.00825082508250825	0.040319845	0.04739640630729739	0.0041714325	0.0048588192152548585	0.022584707	0.026842684268426845	1.1731358	0.6737073707370737	0.015657725	0.01840850751741841	0.0626997	0.07128712871287128	0.051062424	0.05968096809680968	0.10287241	0.09897323065639897	0.03711588	0.04334433443344334	0.03362357	0.0385955262192886	1818
8	0.009100023	0.01184971098265896	0.022004299	0.025921242774566474	0.013384399	0.01625722543352601	0.025619913	0.02938342967244701	0.06282487	0.06659441233140655	0.0053375307	0.005900770712909441	0.043246698	0.048843930635838154	1.2420437	0.6960982658959537	0.030805616	0.03335741811175337	0.098586895	0.10158959537572254	0.0711044	0.07639691714836223	0.13194025	0.12230250481695569	0.05973223	0.06423410404624277	0.049854785	0.05322736030828517	1384
9	0.02634407	0.036784938450398263	0.06854484	0.08797972483707459	0.046135142	0.062002172338884866	0.040254895	0.053101617185614285	0.08587598	0.11754767076997344	0.0042662933	0.006154960173787111	0.41767284	0.4196958725561188	0.29335952	0.2635771180304127	0.13506621	0.15015689114168476	0.26343784	0.28332126478397296	0.1715963	0.1892831281679942	0.24311242	0.2592807144581221	0.20062223	0.20895486362539223	0.16393489	0.17294231233405746	1381
11	0.01949024	0.02629179331306991	0.07770767	0.08976063829787234	0.034180466	0.04454787234042553	0.056882903	0.06674265450861196	0.0777165	0.08953900709219857	0.0018070427	0.002532928064842958	0.49246755	0.4427051671732523	0.34917337	0.25729483282674775	0.11762559	0.10797872340425531	0.17893031	0.18297872340425533	0.16757733	0.16828774062816615	0.2198347	0.22041540020263425	0.18078579	0.1626899696048632	0.162722	0.15108915906788248	1316
12	0.012255027	0.01655737704918033	0.07083603	0.07643442622950819	0.02645046	0.03360655737704918	0.03959435	0.0471311475409836	0.06606476	0.07636612021857923	0.0028568576	0.003961748633879781	0.2831713	0.2762295081967213	0.25250214	0.22131147540983606	0.14753075	0.12153005464480876	0.17828079	0.18155737704918032	0.14718464	0.1489071038251366	0.21326719	0.2035792349726776	0.21167578	0.1769672131147541	0.1816165	0.1601912568306011	1220
15	0.023619786	0.032446808510638296	0.09989916	0.11092641843971632	0.046494313	0.06017287234042553	0.08549272	0.09958628841607564	0.11943947	0.1347517730496454	0.005505326	0.0076832151300236405	0.6155671	0.500354609929078	0.3782083	0.2705673758865248	0.14171006	0.13581560283687943	0.27255225	0.25596926713947993	0.22886714	0.212145390070922	0.31432828	0.2850177304964539	0.22938813	0.20079787234042554	0.20592444	0.18489952718676123	1128
16	0.013435863	0.01853932584269663	0.050502125	0.057818352059925096	0.030187506	0.037570224719101125	0.04657016	0.05227840199750312	0.06427806	0.07318976279650435	0.0013613033	0.0017166042446941322	0.52568424	0.4419475655430712	0.29162097	0.2413857677902622	0.06829038	0.07337702871410735	0.19575384	0.1883895131086142	0.16901526	0.15555555555555556	0.23676068	0.21385767790262172	0.13184558	0.1239076154806492	0.13271917	0.12699750312109861	1068
19	0.0007567109	0.001091703056768559	0.009520761	0.009279475982532752	0.009219195	0.009279475982532752	0.002353595	0.002365356622998544	0.0367553	0.04494177583697234	0.00079731195	0.0009097525473071323	0.40529555	0.3203056768558952	0.15041648	0.12205240174672491	0.021460077	0.020705967976710333	0.0849543	0.07489082969432313	0.06753888	0.05942503639010189	0.11691657	0.09199417758369724	0.0452285	0.039847161572052404	0.06381947	0.05564046579330422	916
20	0.0015250763	0.0022002200220022	0.009778273	0.012651265126512651	0.008364712	0.010726072607260726	0.0028391648	0.0036670333700036667	0.050874483	0.06820682068206821	0.00063544844	0.0007334066740007334	0.3028699	0.3269526952695269	0.15017484	0.15973597359735975	0.01921928	0.023872387238723872	0.06384674	0.07656765676567656	0.0541157	0.062082874954162086	0.09399144	0.09834983498349835	0.03274857	0.03938393839383938	0.04636369	0.05577557755775578	909
21	0.49206886	0.3719063545150502	0.49132764	0.38001672240802675	0.22314262	0.21502229654403568	0.27594465	0.24043106651802304	0.9736386	0.5059457450761798	0.37837	0.25863991081382387	0.12730154	0.1311036789297659	1.0865419	0.3534002229654404	0.4355387	0.30992196209587514	0.69778526	0.4828316610925306	0.54865515	0.3851356373095503	0.6700465	0.4579710144927536	0.4483727	0.3415830546265329	0.39819634	0.26696395392047567	897
