patient	tissue	P4_primary	P3_secondary	P1_inflammatory	P6_interferon	hypoxia	macrophage_identity	phagolysosome	macrophage_cells	median_total_counts	median_detected_genes	median_log10_total_counts
BC1	NORMAL	0.19598225	0.0	0.32400572	0.19457598	0.14738478	2.0008311	1.3415997	149	1507.0	560.0	3.1781132
BC1	TUMOR	0.13299592	0.0	0.2655207	0.1609988	0.0	1.8362753	1.3022995	134	959.0	429.0	2.9818187
BC2	NORMAL	0.42587835	0.41648337	0.5590358	0.39940184	0.18973425	1.9462085	1.003524	23	1855.0	689.0	3.268344
BC2	TUMOR	0.22122824	0.2710434	0.35487738	0.3649317	0.17760286	2.1971319	1.4934461	54	1738.5	720.5	3.240128
BC3	NORMAL	0.34784216	0.38806915	0.4360421	0.36067963	0.24095681	2.2992053	1.6255436	97	1780.0	875.0	3.25042
BC3	TUMOR	0.5468393	0.5243858	0.5025013	0.47635016	0.25183502	1.9199579	1.4762534	155	1064.0	543.0	3.0269415
BC4	TUMOR	0.3256544	0.31777442	0.48243237	0.42048442	0.21148017	1.866742	1.4133255	242	1524.0	818.5	3.182984
BC5	TUMOR	1.1453686	0.8786125	1.0159221	1.0708854	0.5804534	1.0072193	1.6739237	144	3460.0	1337.0	3.539076
BC6	TUMOR	1.6409172	1.7342126	0.98847497	0.9279218	0.5315285	2.197464	2.1241114	1376	4867.5	1737.0	3.687306
BC7	NORMAL	0.21945015	0.22605988	0.34279922	0.3216731	0.20302944	1.6853868	1.6353765	24	2341.5	699.0	3.3694224
BC7	TUMOR	0.6988802	0.61627156	0.6222137	0.53768414	0.46397325	1.3516488	1.7261579	210	3309.0	1226.0	3.519691
BC8	TUMOR	1.1124191	0.97618234	0.7655077	0.6784452	0.49577752	1.655745	1.8993928	394	3816.5	1371.5	3.581665
