validation_program	rank	gene	loading
A1	1	FTH1	7.942332795374064
A1	2	TXNIP	6.013294488598083
A1	3	CEBPD	4.586383146170385
A1	4	IGKC	2.9791980005290526
A1	5	VCAN	1.662836358904489
A1	6	S100A9	1.5942448787457228
A1	7	HMOX1	1.5653817882449441
A1	8	ATP2B1	1.5542703482249611
A1	9	F13A1	1.373834724941024
A1	10	MRC1	1.3500162542346175
A1	11	TIMP1	1.2262884248254706
A1	12	ATP5J2	1.0376257385294982
A1	13	CPM	0.9968676300032994
A1	14	INPP5D	0.9905372688416828
A1	15	CD93	0.8258649321187075
A1	16	PAPOLA	0.8214007398967877
A1	17	TM9SF3	0.7926817035421552
A1	18	IL1B	0.7251409454921147
A1	19	SMARCA2	0.7080017730147411
A1	20	DUSP6	0.6901249160825346
A1	21	C8ORF59	0.6876295556718219
A1	22	RSL1D1	0.6864936109860408
A1	23	PARP1	0.6333860246826052
A1	24	GNA13	0.6323568805151002
A1	25	TTC3	0.6148684177220517
A1	26	STX7	0.612986669005438
A1	27	S100A8	0.6013750855305836
A1	28	BLVRB	0.5567728385972079
A1	29	NDUFA3	0.5538650246949995
A1	30	MRPL51	0.5441559055786541
A1	31	EMB	0.500667838021748
A1	32	CAMK1D	0.49751868850284053
A1	33	VMA21	0.4951192135666319
A1	34	MAPK3	0.4695126113609247
A1	35	PSMC5	0.4477076322829079
A1	36	TPSB2	0.4448419948389173
A1	37	CPA3	0.43886043480133313
A1	38	FABP4	0.43463359096778476
A1	39	NR1H2	0.434219786810333
A1	40	GRAMD1A	0.4295495235685135
A1	41	NDUFS8	0.42033911622094283
A1	42	SNRPF	0.410892922358446
A1	43	PDCD6	0.4050605018524064
A1	44	NOL7	0.4017746719540876
A1	45	SSH2	0.3975859697378471
A1	46	BAZ2A	0.3937272546570715
A1	47	IFI27L2	0.38999674208986757
A1	48	FKBP8	0.3867435077995653
A1	49	ITPRIPL2	0.3809823506889406
A1	50	COL1A1	0.38018526802854413
A2	1	HSPA1A	3.577471093205646
A2	2	TIMP1	2.636539887276173
A2	3	DNAJB1	2.613331949783724
A2	4	ISG15	2.3860123370709325
A2	5	FTH1	2.376493529843734
A2	6	CEBPD	1.7118032033439607
A2	7	APOBEC3A	1.6975818125403566
A2	8	S100A9	1.5647156400108968
A2	9	RNASE1	1.5021700522523942
A2	10	VCAN	1.4256391450324926
A2	11	S100A8	1.342972795386407
A2	12	IL1RN	1.2370197499088749
A2	13	TXNIP	1.0502073167131603
A2	14	HSPA6	0.9863890987894722
A2	15	IGKC	0.717622380603937
