discovery_program	validation_program	overlap_n	jaccard	overlap_coefficient	universe_genes	discovery_genes_in_universe	hypergeom_p	mean_loading_percentile	overlapping_genes	hypergeom_fdr
P1	A1	4	0.041666666666666664	0.08	500	11	0.017271818991052686	0.49936236108580795	IL1B;S100A8;TIMP1;VCAN	0.02590772848657903
P1	A2	10	0.1111111111111111	0.2	500	11	4.2556965173827043e-10	0.9588267443978867	CCL3;CCL3L3;CCL4;CXCL8;FABP5;IL1B;IL1RN;S100A8;TIMP1;VCAN	1.2767089552148113e-08
P1	A3	6	0.06382978723404255	0.12	500	11	0.00023438355619285423	0.5786117689925305	CCL3;CCL3L3;CCL4;CCL4L2;CXCL8;IL1B	0.0006392278805259661
P1	A4	5	0.05263157894736842	0.1	500	11	0.002392548076265578	0.7054108216432866	CCL3;CCL4;CXCL8;FABP5;IL1RN	0.00512688873485481
P1	A5	4	0.041666666666666664	0.08	500	11	0.017271818991052686	0.47713609036254323	CCL3;CCL3L3;CCL4;CXCL8	0.02590772848657903
P2	A1	1	0.010101010101010102	0.02	500	6	0.47034130674480895	0.4736138944555779	TIMP1	0.48655997249462996
P2	A2	4	0.041666666666666664	0.08	500	6	0.0011509046798063327	0.6943887775551102	FABP5;HSPA1A;ISG15;TIMP1	0.0028772616995158314
P2	A3	3	0.030927835051546393	0.06	500	6	0.015192971305332877	0.5200400801603207	HSPA1A;MGP;SLC40A1	0.02590772848657903
P2	A4	2	0.02040816326530612	0.04	500	6	0.11326803039299486	0.6389445557782231	FABP5;ISG15	0.14158503799124358
P2	A5	3	0.030927835051546393	0.06	500	6	0.015192971305332877	0.5490981963927856	HSPA1A;MGP;SLC40A1	0.02590772848657903
P3	A1	2	0.02040816326530612	0.04	500	11	0.30263152429076473	0.4734924394243032	CPM;HMOX1	0.32424806174010506
P3	A2	3	0.030927835051546393	0.06	500	11	0.0873943404298898	0.5644015303333941	FN1;HMOX1;HSPA1A	0.11399261795203018
P3	A3	4	0.041666666666666664	0.08	500	11	0.017271818991052686	0.531244306795409	CPM;HMOX1;HSPA1A;SLC40A1	0.02590772848657903
P3	A4	8	0.08695652173913043	0.16	500	11	7.632449736436115e-07	0.8402259063581708	ACP5;CCL18;CPM;CYP27A1;FN1;HMOX1;IFI27;NUPR1	4.579469841861668e-06
P3	A5	7	0.07526881720430108	0.14	500	11	1.6142200230443827e-05	0.6972126070322463	ACP5;CCL18;CPM;HMOX1;HSPA1A;IFI27;SLC40A1	5.380733410147943e-05
P4	A1	3	0.030927835051546393	0.06	500	10	0.06827001640111603	0.5352705410821643	HMOX1;S100A8;TIMP1	0.09309547691061276
P4	A2	7	0.07526881720430108	0.14	500	10	6.355592339752782e-06	0.7861723446893788	FABP5;FN1;HMOX1;HSPA1A;ISG15;S100A8;TIMP1	2.383347127407293e-05
P4	A3	2	0.02040816326530612	0.04	500	10	0.2634974908615147	0.35030060120240475	HMOX1;HSPA1A	0.29277498984612743
P4	A4	7	0.07526881720430108	0.14	500	10	6.355592339752782e-06	0.9236472945891784	ACP5;FABP5;FN1;HMOX1;ISG15;NUPR1;SPP1	2.383347127407293e-05
P4	A5	3	0.030927835051546393	0.06	500	10	0.06827001640111603	0.44969939879759524	ACP5;HMOX1;HSPA1A	0.09309547691061276
P5	A1	2	0.02040816326530612	0.04	500	10	0.2634974908615147	0.33807615230460925	HMOX1;IL1B	0.29277498984612743
P5	A2	9	0.0989010989010989	0.18	500	10	4.6284313817210434e-09	0.9535070140280562	CCL2;CCL3;CCL3L3;CCL4;CXCL8;HMOX1;HSPA1A;HSPA6;IL1B	6.942647072581565e-08
P5	A3	8	0.08695652173913043	0.16	500	10	2.252786722058166e-07	0.8615230460921843	CCL3;CCL3L3;CCL4;CCL4L2;CXCL8;HMOX1;HSPA1A;IL1B	1.6895900415436245e-06
P5	A4	5	0.05263157894736842	0.1	500	10	0.0014115642035052488	0.679559118236473	CCL2;CCL3;CCL4;CXCL8;HMOX1	0.003257455854242882
P5	A5	7	0.07526881720430108	0.14	500	10	6.355592339752782e-06	0.7529058116232465	CCL2;CCL3;CCL3L3;CCL4;CXCL8;HMOX1;HSPA1A	2.383347127407293e-05
P6	A1	1	0.010101010101010102	0.02	500	13	0.750259059516423	0.25373824572221365	TIMP1	0.750259059516423
P6	A2	10	0.1111111111111111	0.2	500	13	9.480764805168417e-09	0.9115153383690457	APOBEC3A;CCL2;CCL3;CCL4;CCL8;CXCL10;FN1;IL1RN;ISG15;TIMP1	9.480764805168417e-08
P6	A3	3	0.030927835051546393	0.06	500	13	0.1314332146978737	0.3776784337906583	CCL3;CCL4;CCL4L2	0.15771985763744845
P6	A4	7	0.07526881720430108	0.14	500	13	7.159331280006091e-05	0.7849545244334823	CCL2;CCL3;CCL4;FN1;IFI27;IL1RN;ISG15	0.00021477993840018274
P6	A5	5	0.05263157894736842	0.1	500	13	0.00569815900668329	0.4798828426082935	CCL2;CCL3;CCL4;CCL8;IFI27	0.01139631801336658
