	g0	g1	g2	g3	g4	g5	g6	g7	g8	g9
PTPRC	100199.616	26214.258	1586.573	1154.141	10384.675	7456.603	1517.566	194.895	111.175	101.403
CD3D	107221.953	1891.074	888.964	773.948	13726.077	897.109	173.765	191.359	62.736	14.456
CD3E	40464.805	716.522	487.554	321.079	3872.188	395.001	139.198	74.628	28.309	5.263
MS4A1	1597.772	647.674	161.266	383.127	927.286	20277.908	35.859	26.721	31.807	3.16
CD79A	1032.667	408.06	5692.246	408.368	930.367	11591.473	87.43	51.689	10.549	2.191
LST1	2469.007	24137.252	52.47	196.316	371.362	638.355	510.977	31.384	19.522	24.868
TYROBP	14657.531	112238.943	361.38	711.882	1450.714	743.258	4728.018	126.261	84.658	578.47
FCER1G	14407.081	112660.989	246.191	947.861	1320.241	573.567	4927.304	129.588	102.562	1321.185
C1QA	2391.551	113397.481	260.64	532.255	234.676	548.865	104.765	152.917	48.084	25.312
C1QB	2240.342	111247.728	235.431	471.254	211.208	411.548	82.641	120.075	49.272	6.757
C1QC	944.898	58570.585	68.622	313.012	102.23	198.244	56.165	48.728	11.368	0
APOE	4924.232	225294.911	623.406	15110.079	522.804	952.137	156.457	453.199	1722.672	67.096
SPP1	8429.544	388440.477	1103.947	2938.112	1659.93	1307.302	474.084	1558.657	629.776	16.302
FABP5	15643.849	30342.828	724.467	1370.309	8994.693	1548.191	677.112	4261.232	310.126	15.908
FN1	3055.709	66439.139	350.898	65298.367	410.869	614.733	101.595	3051.33	5536.257	36.527
COL1A1	2855.964	1170.939	297.524	154466.235	278.806	566.538	137.541	119.899	6713.672	12.868
COL1A2	2770.437	1443.096	284.816	135861.502	277.945	398.669	66.549	172.249	6860.687	14.73
DCN	855.561	639.113	92.001	68672.561	43.765	241.09	28.184	28.417	357.967	12.138
PDGFRA	41.856	87.32	12.92	4041.117	11.367	0	10.576	11.649	18	0
PECAM1	1986.735	5296.878	1596.67	97.074	450.005	117.053	424.615	4515.465	22.991	6.409
VWF	150.445	69.115	17.155	45.175	19.394	27.215	0	7219.77	9.373	4.587
EPCAM	795.588	540.116	100.212	386.918	101.435	85.884	35.704	43.582	13.71	0
KRT19	1210.513	1397.665	147.252	1176.555	109.305	272.735	41.555	198.351	109.451	91.889
NKG7	108763.317	3802.708	723.063	718.806	15198.128	985.021	671.074	212.576	53.925	53.087
GNLY	348222.858	7812.068	2194.432	2243.762	62658.93	2826.181	729.844	814.045	170.526	63.988
