discovery_program	validation_program	overlap_n	universe_genes	discovery_genes_in_universe	hypergeom_p	overlapping_genes	hypergeom_fdr
P1	V5	24	290	33	2.51356293325296e-14	CXCL8;CXCL2;CXCL3;G0S2;CCL3;CSTB;IL1B;S100A8;PLIN2;CCL20;CTSD;TXN;EGR1;IL1RN;FABP5;CCL4;LGALS3;LYZ;EREG;TIMP1;THBD;CCL4L2;PTGS2;VCAN	7.54068879975888e-13
P1	V3	15	290	33	4.89045816612779e-05	CXCL8;CXCL2;CXCL3;G0S2;CCL3;CSTB;PLIN2;CTSD;EGR1;FABP5;CCL4;LGALS3;LYZ;DUSP2;TIMP1	0.00020959106426262
P1	V4	9	290	33	0.0886980457892063	G0S2;CSTB;IL1B;TXN;FABP5;LYZ;TIMP1;BIRC3;CCL4L2	0.115693103203313
P1	V1	8	290	33	0.18502478856644	CXCL8;CSTB;S100A8;CTSD;TXN;FABP5;LGALS3;LYZ	0.213490140653585
P1	V2	8	290	33	0.18502478856644	CCL3;CSTB;CTSD;TXN;FABP5;LGALS3;LYZ;PLAU	0.213490140653585
P2	V4	12	290	24	0.000108415181490746	LYZ;MT2A;AREG;TIMP1;HSPA1A;HLA-DQA2;FABP5;RGCC;TXN;BIRC3;LGALS2;HSPD1	0.000361383938302487
P2	V5	12	290	24	0.000108415181490746	LYZ;MT2A;AREG;TIMP1;PLIN2;CTSL;FABP5;RGCC;TXN;FCN1;MT1X;CD36	0.000361383938302487
P2	V3	10	290	24	0.00282715508043181	LYZ;MT2A;TIMP1;PLIN2;HSPA1A;CTSL;FABP5;SDS;HSPD1;HSPH1	0.00555311922497159
P2	V2	8	290	24	0.0355789994125872	LYZ;MT2A;HSPA1A;CTSL;HLA-DQA2;FABP5;TXN;SLC40A1	0.0508271420179818
P2	V1	5	290	24	0.399783884210046	LYZ;MT2A;FABP5;TXN;MT1X	0.428339875939335
P3	V2	21	290	30	7.47175489059771e-12	APOE;APOC1;LYZ;CTSD;IFI27;ACP5;LGALS3;GPNMB;CSTB;NUPR1;CTSL;TXN;HLA-DQA2;CXCL9;CCL18;PLA2G7;HMOX1;HSPA1A;FN1;SLC40A1;GCHFR	1.12076323358966e-10
P3	V1	10	290	30	0.0183349662250052	APOE;APOC1;LYZ;CTSD;ACP5;LGALS3;GPNMB;CSTB;TXN;MMP9	0.0275024493375077
P3	V5	10	290	30	0.0183349662250052	LYZ;CTSD;LGALS3;GPNMB;CSTB;CTSL;TXN;HMOX1;FN1;FBP1	0.0275024493375077
P3	V4	8	290	30	0.119745981980459	LYZ;IFI27;CSTB;TXN;HLA-DQA2;CXCL9;HSPA1A;FBP1	0.149682477475574
P3	V3	7	290	30	0.241497217740372	LYZ;CTSD;ACP5;LGALS3;CSTB;CTSL;HSPA1A	0.268330241933747
P4	V5	20	290	28	1.5912831306686e-11	SPP1;CTSD;FN1;CSTB;FABP5;GPNMB;LYZ;CTSL;LGALS3;PLIN2;TXN;HMOX1;FBP1;CD52;MT2A;RGCC;TIMP1;MARCO;S100A8;CD36	1.5912831306686e-10
P4	V2	18	290	28	3.72117097538659e-09	APOE;APOC1;CTSD;FN1;CSTB;FABP5;GPNMB;LYZ;CTSL;LGALS3;HSPA1A;NUPR1;TXN;GCHFR;HMOX1;MT2A;ACP5;HSPA1B	2.79087823153995e-08
P4	V1	13	290	28	0.000139839002942292	SPP1;APOE;APOC1;CTSD;CSTB;FABP5;GPNMB;LYZ;LGALS3;TXN;MT2A;ACP5;S100A8	0.000381379098933524
P4	V3	13	290	28	0.000139839002942292	CTSD;CSTB;FABP5;LYZ;CTSL;LGALS3;HSPA1A;PLIN2;MT2A;ACP5;HSPA1B;TIMP1;SDS	0.000381379098933524
P4	V4	11	290	28	0.00296166358665152	CSTB;FABP5;LYZ;HSPA1A;TXN;FBP1;CD52;MT2A;RGCC;HSPA1B;TIMP1	0.00555311922497159
P5	V3	18	290	31	4.04879822669767e-08	HSPA1A;CCL4;CCL3;HSPA1B;HSPH1;EGR1;DUSP2;HSPD1;CXCL8;CTSD;BAG3;HSPA6;ZFAND2A;DNAJA4;CCL2;LYZ;KCNQ1OT1;CXCL2	2.4292789360186e-07
P5	V5	12	290	31	0.00212418074316371	CCL4;CCL3;CCL4L2;EGR1;CXCL8;CTSD;IL1B;HMOX1;CCL2;LYZ;RGCC;CXCL2	0.00455181587820795
P5	V2	11	290	31	0.00761635943100073	HSPA1A;CCL3;HSPA1B;APOE;CTSD;HLA-DQA2;APOC1;HMOX1;CCL2;LYZ;PLAU	0.0126939323850012
P5	V4	9	290	31	0.0618556107465385	HSPA1A;HSPA1B;CCL4L2;HSPD1;IL1B;HLA-DQA2;PMAIP1;LYZ;RGCC	0.0843485601089161
P5	V1	5	290	31	0.650466260725965	APOE;CXCL8;CTSD;APOC1;LYZ	0.650466260725965
P6	V5	14	290	29	4.0177358484269e-05	CCL2;MT2A;IFIT3;TXN;LYZ;CCL4;CCL3;CTSL;TIMP1;IL1RN;CCL4L2;FN1;CSTB;LGALS3	0.000200886792421345
P6	V2	13	290	29	0.000220814089064437	CXCL10;IFI27;CCL2;MT2A;CCL8;CXCL9;TXN;LYZ;CCL3;CTSL;FN1;CSTB;LGALS3	0.000509570974764086
P6	V4	13	290	29	0.000220814089064437	CXCL10;IFI27;MT2A;TNFSF10;CXCL9;TXN;LYZ;CXCL11;TIMP1;CCL4L2;CSTB;HSPD1;IDO1	0.000509570974764086
P6	V3	11	290	29	0.00413902175451441	CCL2;MT2A;LYZ;CCL4;CCL3;CTSL;TIMP1;DUSP2;CSTB;HSPD1;LGALS3	0.00730415603737837
P6	V1	5	290	29	0.584757302166362	MT2A;TXN;LYZ;CSTB;LGALS3	0.60492134706865
