gene	dominant_celltype	macrophage_mean_expression	strongest_other_mean_expression	macrophage_to_strongest_other_ratio	macrophage_fraction_detected	empirical_expression_class
CD52	Lymphocyte	0.307692573681014	1.61179278262494	0.19090082608504472	0.230561646146062	lymphocyte-weighted
HMOX1	Macrophage	1.07150082868218	0.467355578898122	2.2926886444972867	0.665879574970484	macrophage-dominant
SPP1	Macrophage	1.03201337120538	0.453409171880948	2.2761193094619547	0.350143363130376	macrophage-dominant
CD36	Endothelial	0.206879401679372	0.868666607254652	0.23815742420811709	0.162927981109799	multicellular/stromal
FABP5	Endothelial	0.9890303611959	1.34219605957056	0.7368747316337254	0.567043346264125	multicellular/stromal
FN1	CAF	0.908535961899304	2.15004491475672	0.4225660383481365	0.383201214370046	multicellular/stromal
MT2A	CAF	1.42620746138831	1.75999317097711	0.8103482927700854	0.684769775678867	multicellular/stromal
NUPR1	CAF	0.735262958513371	1.17112801827021	0.6278245819781305	0.415078428065441	multicellular/stromal
TIMP1	CAF	0.881466820777365	2.90497621533081	0.30343340373166744	0.597908584921572	multicellular/stromal
FBP1	Other myeloid	0.39765382677633	0.44459963862969	0.8944087943974658	0.338842975206612	myeloid-enriched/shared
LYZ	Other myeloid	2.42120335322909	2.83992839873926	0.8525578864255677	0.863889357395851	myeloid-enriched/shared
MARCO	Macrophage	0.275681901353094	0.236630754437307	1.1650298880576542	0.213020745488278	myeloid-enriched/shared
S100A8	Other myeloid	0.419893715617843	1.09583379426659	0.38317281125543834	0.238488783943329	myeloid-enriched/shared
