gene	analysis_celltype	cells	mean_expression	fraction_detected
CD36	Endothelial	7605	0.868666607254652	0.472057856673241
CD36	CAF	6573	0.0487297371487258	0.0322531568537958
CD36	Lymphocyte	46299	0.00613071165674078	0.00542128339704961
CD36	Macrophage	5929	0.206879401679372	0.162927981109799
CD36	Other myeloid	3746	0.28417622294746	0.230112119594234
CD36	Malignant epithelial	24489	0.0140934591702438	0.0208665114949569
CD52	Endothelial	7605	0.0525744898075632	0.040499671268902
CD52	CAF	6573	0.03625267693489	0.0287539936102236
CD52	Lymphocyte	46299	1.61179278262494	0.648264541350785
CD52	Macrophage	5929	0.307692573681014	0.230561646146062
CD52	Other myeloid	3746	0.869853456226136	0.505872931126535
CD52	Malignant epithelial	24489	0.0323154968736562	0.0396912899669239
FABP5	Endothelial	7605	1.34219605957056	0.632347140039448
FABP5	CAF	6573	0.275213266025118	0.197930929560323
FABP5	Lymphocyte	46299	0.342395579572484	0.190932849521588
FABP5	Macrophage	5929	0.9890303611959	0.567043346264125
FABP5	Other myeloid	3746	0.759778027977496	0.491991457554725
FABP5	Malignant epithelial	24489	0.407390613721761	0.277553187145249
FBP1	Endothelial	7605	0.0141847415388865	0.0147271531886917
FBP1	CAF	6573	0.0113812900560318	0.0117145899893504
FBP1	Lymphocyte	46299	0.0455592839973342	0.0397416790859414
FBP1	Macrophage	5929	0.39765382677633	0.338842975206612
FBP1	Other myeloid	3746	0.44459963862969	0.346769887880406
FBP1	Malignant epithelial	24489	0.259167678811968	0.273183878476051
FN1	Endothelial	7605	0.646790264367335	0.378829717291256
FN1	CAF	6573	2.15004491475672	0.741670470104975
FN1	Lymphocyte	46299	0.0347829861990914	0.0264584548262381
FN1	Macrophage	5929	0.908535961899304	0.383201214370046
FN1	Other myeloid	3746	0.515446503780694	0.226374799786439
FN1	Malignant epithelial	24489	0.184856355618643	0.151088243701254
HMOX1	Endothelial	7605	0.113099437115216	0.0954635108481262
HMOX1	CAF	6573	0.0845180629710249	0.0824585425224403
HMOX1	Lymphocyte	46299	0.0326662059440999	0.0241905872697035
HMOX1	Macrophage	5929	1.07150082868218	0.665879574970484
HMOX1	Other myeloid	3746	0.467355578898122	0.366791243993593
HMOX1	Malignant epithelial	24489	0.0389403995032203	0.057495201927396
LYZ	Endothelial	7605	0.0320596189287599	0.0249835634451019
LYZ	CAF	6573	0.0469002164337788	0.0375779704853187
LYZ	Lymphocyte	46299	0.0603685366232856	0.0392017106200998
LYZ	Macrophage	5929	2.42120335322909	0.863889357395851
LYZ	Other myeloid	3746	2.83992839873926	0.844901227976508
LYZ	Malignant epithelial	24489	0.0881955800485413	0.106700967781453
MARCO	Endothelial	7605	0.00345530938456759	0.00276134122287968
MARCO	CAF	6573	0.00379163875720297	0.00380343830823064
MARCO	Lymphocyte	46299	0.00749743157154017	0.00619883798786151
MARCO	Macrophage	5929	0.275681901353094	0.213020745488278
MARCO	Other myeloid	3746	0.236630754437307	0.188467698878804
MARCO	Malignant epithelial	24489	0.0742149513710834	0.0510433255747479
MT2A	Endothelial	7605	1.38088844721525	0.604470742932281
MT2A	CAF	6573	1.75999317097711	0.718089152593945
MT2A	Lymphocyte	46299	1.04015538929333	0.458454826238148
MT2A	Macrophage	5929	1.42620746138831	0.684769775678867
MT2A	Other myeloid	3746	1.41615807131036	0.638547784303257
MT2A	Malignant epithelial	24489	1.09667578170083	0.62358609988158
NUPR1	Endothelial	7605	0.389543695373018	0.330046022353715
NUPR1	CAF	6573	1.17112801827021	0.686596683401795
NUPR1	Lymphocyte	46299	0.119951915872618	0.082485582841962
NUPR1	Macrophage	5929	0.735262958513371	0.415078428065441
NUPR1	Other myeloid	3746	0.0864197015629329	0.0739455419113721
NUPR1	Malignant epithelial	24489	1.09384258073137	0.702682837192209
S100A8	Endothelial	7605	0.0162605541903036	0.00973044049967127
S100A8	CAF	6573	0.0370976952893063	0.0197778792027993
S100A8	Lymphocyte	46299	0.0312465225059923	0.0176893669409706
S100A8	Macrophage	5929	0.419893715617843	0.238488783943329
S100A8	Other myeloid	3746	1.09583379426659	0.416177255739455
S100A8	Malignant epithelial	24489	0.46378186296283	0.197435583323125
SPP1	Endothelial	7605	0.205912148304929	0.114003944773176
SPP1	CAF	6573	0.0301292919486779	0.0308839190628328
SPP1	Lymphocyte	46299	0.0270214981129146	0.019849240804337
SPP1	Macrophage	5929	1.03201337120538	0.350143363130376
SPP1	Other myeloid	3746	0.453409171880948	0.164175120128137
SPP1	Malignant epithelial	24489	0.0326257158502969	0.0527992159745192
TIMP1	Endothelial	7605	1.26274523916946	0.709796186719264
TIMP1	CAF	6573	2.90497621533081	0.920127795527156
TIMP1	Lymphocyte	46299	0.308696547377096	0.195166202293786
TIMP1	Macrophage	5929	0.881466820777365	0.597908584921572
TIMP1	Other myeloid	3746	1.42571213887202	0.696476241324079
TIMP1	Malignant epithelial	24489	0.855920982830127	0.530973089958757
