program	rank	gene	loading
P1	1	CXCL8	57.5933429284358
P1	2	CXCL2	55.3746506609378
P1	3	CXCL3	43.8491732246037
P1	4	G0S2	41.7833896795895
P1	5	NEAT1	31.5529235337799
P1	6	CCL3	27.2170900040188
P1	7	CSTB	25.0646660021341
P1	8	IL1B	22.6395777667786
P1	9	S100A8	21.0418291130221
P1	10	PLIN2	20.602542017305
P1	11	CCL20	19.7381366891519
P1	12	CTSD	17.3831295807147
P1	13	CEBPB	15.6448327338341
P1	14	CCL3L3	15.2039922597818
P1	15	BRI3	13.258258523274
P1	16	TXN	11.3224462953413
P1	17	CXCL1	11.009113872025
P1	18	EGR1	10.3750959683451
P1	19	OSM	10.1723657852227
P1	20	IL1RN	10.0662097834416
P1	21	FABP5	8.9802644310452
P1	22	CCL4	8.64037330895294
P1	23	TNFAIP6	8.55581492977795
P1	24	LGALS3	8.41744350523808
P1	25	LYZ	7.33225193265016
P1	26	EREG	6.93582652618319
P1	27	DUSP2	6.85672990022268
P1	28	TIMP1	6.55837868211726
P1	29	OLR1	6.39270415518735
P1	30	ADM	5.97651451566615
P1	31	BIRC3	5.96541777324673
P1	32	BASP1	5.81193141228457
P1	33	THBD	5.65560908100824
P1	34	CCL4L2	5.58685676755268
P1	35	IRF1	4.96550716289105
P1	36	PTGS2	4.93819506999583
P1	37	ABL2	4.88879040699451
P1	38	HSP90AA1	4.85658541861782
P1	39	SNAPC1	4.444527372535
P1	40	LUCAT1	4.41790017358123
P1	41	TMBIM4	4.12567836697457
P1	42	HCAR3	4.05698551914977
P1	43	HCAR2	4.00399226089171
P1	44	VCAN	3.89455528869136
P1	45	FAM210A	3.89389688031352
P1	46	PLAU	3.69324436210513
P1	47	INHBA	3.68439583235258
P1	48	JUND	3.50400358839178
P1	49	PHLDA2	3.44001515625306
P1	50	PLPP3	3.32165792206258
P2	1	NEAT1	34.902462352532
P2	2	LYZ	31.2303492934849
P2	3	HSP90AA1	26.8494902527114
P2	4	GPR183	24.5693966797786
P2	5	MT2A	23.909618722848
P2	6	VIM	21.7452872020551
P2	7	ANXA1	21.4984515872735
P2	8	MGP	20.3531426694011
P2	9	AREG	19.1627079488317
P2	10	TIMP1	17.2204188957806
P2	11	ATP5O	17.1900552060763
P2	12	ANXA2	16.4217586498404
P2	13	PDK4	15.3021309075424
P2	14	PLIN2	14.7272649748087
P2	15	NDUFB8	13.7587149840136
P2	16	NDUFC2	13.7215179913619
P2	17	CTSC	13.6241193971398
P2	18	LMNA	13.184307125263
P2	19	HSPA1A	13.0915950306521
P2	20	CTSL	12.7370882144026
P2	21	CEBPB	12.2363490229059
P2	22	TMBIM4	11.9464683114436
P2	23	HLA-DQA2	11.7894413368666
P2	24	HSPA5	11.2829379459959
P2	25	PSMA2	10.3834350772856
P2	26	GNAS	10.2833610380361
P2	27	FABP5	10.2153703580106
P2	28	RGCC	9.95408022089567
P2	29	PRDX1	9.85391002150659
P2	30	TXN	9.8114804540643
P2	31	ISG15	9.57235713214488
P2	32	IGFBP7	9.32323429879935
P2	33	ID2	9.30139701013577
P2	34	FCN1	9.16905362745087
P2	35	RP11-1143G9.4	8.90830572541213
P2	36	JUND	8.76642544262202
P2	37	SLC40A1	8.53830724324124
P2	38	CTSZ	8.50041648012202
P2	39	BIRC3	8.40324140369083
P2	40	FAM133B	8.34406741851975
P2	41	MT1X	8.1647559414727
P2	42	SDS	7.83417080761047
P2	43	YBX3	7.52537247760064
P2	44	LGALS2	7.49519321533273
P2	45	EIF4A3	7.33634070106565
P2	46	HSPD1	6.99434559992497
P2	47	THBS1	6.78844097291775
P2	48	HSPH1	6.43049018239634
P2	49	CD36	6.31432767027064
P2	50	TSC22D1	6.11409116321727
P3	1	APOE	71.1161465255191
P3	2	APOC1	53.5791873290066
P3	3	LYZ	44.4745825109259
P3	4	CTSD	43.8124484414578
P3	5	CTSC	33.0682846678993
P3	6	IFI27	31.7273716771724
P3	7	PRDX1	31.725765858508
P3	8	ACP5	31.7196352774041
P3	9	LGALS3	31.5207414897662
P3	10	VIM	30.970529624544
P3	11	GPNMB	29.3118918694854
P3	12	CTSZ	29.1878289011109
P3	13	CSTB	22.6015932446045
P3	14	ANXA2	22.2481628455279
P3	15	NUPR1	20.2539407551503
P3	16	CTSL	19.5197150922096
P3	17	TXN	18.7448525899238
P3	18	CD81	17.8720094390499
P3	19	HSP90AA1	17.4316421472944
P3	20	HLA-DQA2	17.0402821788659
P3	21	CXCL9	15.7833485005645
P3	22	MMP9	14.6673681999156
P3	23	NEAT1	14.5615485234394
P3	24	ALDH2	14.1769720691719
P3	25	ADAMDEC1	13.6246305543827
P3	26	CCL18	13.3755081754255
P3	27	PLA2G7	13.1975672410717
P3	28	HMOX1	11.8395741349434
P3	29	LTA4H	11.7230004374875
P3	30	IL32	11.6857163609824
P3	31	HSPA1A	11.6229346418571
P3	32	C2	11.54932315153
P3	33	GNAS	10.2978490451932
P3	34	LMNA	10.2765839906772
P3	35	FN1	9.97534055387552
P3	36	ALDH1A1	9.43229355767743
P3	37	ANXA1	9.27916625871225
P3	38	CPM	8.67376833336002
P3	39	IL4I1	8.58661927393037
P3	40	RARRES1	8.50535910672758
P3	41	HEXA	8.10780470308626
P3	42	CYP27A1	7.9387756698199
P3	43	TSC22D1	7.76046038800688
P3	44	BRI3	7.67604739385976
P3	45	CCL5	7.6298172959722
P3	46	SLC40A1	7.4146439097945
P3	47	FBP1	7.22945382508607
P3	48	HSPA5	6.89253656189515
P3	49	GCHFR	6.50572777790269
P3	50	IRF1	6.45450359776021
P4	1	SPP1	63.2043831012854
P4	2	APOE	45.5159725351717
P4	3	VIM	41.8605288075349
P4	4	APOC1	40.3000977313082
P4	5	CTSD	37.0113548734581
P4	6	FN1	34.801577887222
P4	7	CSTB	32.6763742856205
P4	8	FABP5	25.9220550418996
P4	9	ANXA2	23.4767765594766
P4	10	GPNMB	21.7761589083223
P4	11	LYZ	21.2133182714155
P4	12	HSP90AA1	21.2102326624756
P4	13	CTSL	21.0947997822128
P4	14	LGALS3	20.1623129240836
P4	15	IFI6	19.7525601088566
P4	16	CTSZ	17.7213737698274
P4	17	HSPA1A	17.5273455699334
P4	18	NUPR1	15.8524005353531
P4	19	NEAT1	15.6082117594266
P4	20	PRDX1	15.2869593793549
P4	21	CD81	14.6554396408968
P4	22	ANXA1	13.4402343569578
P4	23	PLIN2	12.9154302834286
P4	24	TXN	11.8686163670716
P4	25	GCHFR	11.5638208730786
P4	26	GNAS	11.1387938572375
P4	27	HMOX1	10.8951714157947
P4	28	FBP1	10.7160012572182
P4	29	FLNA	9.97395018026941
P4	30	CD52	9.91237763687757
P4	31	MT2A	9.70090928982814
P4	32	BRI3	9.36793223120712
P4	33	RGCC	9.3320029703079
P4	34	ACP5	9.2478269849227
P4	35	HSPA1B	9.23284266419338
P4	36	OLR1	9.03801095197208
P4	37	CEBPB	8.94351242011838
P4	38	TIMP1	8.69895006718947
