validation_program	rank	gene	loading
B1	1	CXCL10	5.401994005344124
B1	2	CCL2	4.683448868151414
B1	3	CCL8	2.89080408400264
B1	4	CXCL9	2.502624766674
B1	5	LYZ	2.0754640773641437
B1	6	FN1	1.8193967857810975
B1	7	MT2A	1.7054017672903894
B1	8	CXCL11	1.6220995512822414
B1	9	IFIT3	1.322569171204936
B1	10	IFIT1	1.2755590176745333
B1	11	IFIT2	1.2606695566093538
B1	12	CCL5	1.2194179573863808
B1	13	RSAD2	1.1136949832972203
B1	14	UBD	1.1131306712686109
B1	15	NUPR1	0.8438422620600263
B1	16	IDO1	0.8042526647949209
B1	17	HSPB1	0.7205517272610138
B1	18	OLFML3	0.6387658792611041
B1	19	IL32	0.6203659192008218
B1	20	APOBEC3A	0.5886489679859137
B1	21	IL6	0.5799784848296371
B1	22	CCL7	0.5622154556181534
B1	23	FCGR2B	0.4925656175719109
B1	24	S100A8	0.46365046049665276
B1	25	MMP9	0.46196576721390453
B1	26	C3	0.461198312693678
B1	27	CCL13	0.44564892480279616
B1	28	TIMP1	0.42594637970034804
B1	29	CRIP1	0.4236054056711083
B1	30	HLA-DQB2	0.35099702257982807
B1	31	CXorf21	0.3444850939122459
B1	32	LPAR6	0.33241134538784184
B1	33	IGKV4-1	0.33045652558389726
B1	34	MIR155HG	0.33005536073364683
B1	35	EGR2	0.3151644719794417
B1	36	SLC2A3	0.293540095727927
B1	37	CXCL12	0.2580928824396821
B1	38	IGKV3-20	0.2531901333825178
B1	39	EBI3	0.24044472980040746
B1	40	MRC1	0.23494337115372874
B1	41	HSPH1	0.23366296894165678
B1	42	HMOX1	0.22999677017568423
B1	43	THBD	0.21237995872887214
B1	44	DEFB1	0.19715524857339564
B1	45	FBP1	0.1955382507484767
B1	46	IGKV1-5	0.19225168079372856
B1	47	IGHG1	0.1874088012841187
B1	48	CCL18	0.1824077891203695
B1	49	CD93	0.1797907460046693
B1	50	IGLV1-40	0.1683965608548916
B2	1	CCL4L2	6.338933431005781
B2	2	CCL3L1	5.267985066201881
B2	3	TNF	2.051360396165688
B2	4	IL1B	1.8345765892448305
B2	5	C3	1.4148330047621285
B2	6	IFIT2	1.023400463332783
B2	7	OLFML3	0.7297106952465962
B2	8	APOC2	0.7143312333830081
B2	9	MIR155HG	0.6716813656719236
B2	10	EGR2	0.6699225550005504
B2	11	IFIT3	0.6583865256130595
B2	12	MEF2C	0.6296207398663254
B2	13	INSIG1	0.6097570632374738
B2	14	CCL5	0.5490180363619588
B2	15	TSC22D2	0.5488194364601433
B2	16	MT-ND6	0.5188035371767168
B2	17	LYZ	0.46307996871691126
B2	18	SLC40A1	0.4289257582281616
B2	19	LPAR6	0.41738536297436046
B2	20	FCGBP	0.3996702810855961
B2	21	NLRP3	0.39219983265887665
B2	22	CXorf21	0.3615771086159662
B2	23	BIN1	0.3530195754908952
B2	24	IFIT1	0.33292424975382007
B2	25	GEM	0.31760231312385523
B2	26	MT2A	0.3060584934186883
B2	27	RCAN1	0.30360899066701125
B2	28	TCHH	0.2907663251407664
B2	29	STMN1	0.27611239566436196
B2	30	CCL2	0.26649260853127055
B2	31	DLEU1	0.25923220962069354
B2	32	HSPB1	0.25569581376329176
B2	33	IL1A	0.255125727079069
B2	34	AL136987.1	0.2527223430148155
B2	35	HSPA6	0.24255365054370692
B2	36	MGP	0.23641986340883753
B2	37	HAMP	0.23227152976179624
B2	38	HSPH1	0.22891643276842774
B2	39	HIST1H4C	0.22317919460867888
B2	40	NUPR1	0.2216223660729822
B2	41	HLA-DQB2	0.22074276603122203
B2	42	PLA1A	0.2176434466428654
B2	43	CTNNB1	0.21428802510480238
B2	44	IL6	0.20360282105406113
