discovery_program	validation_program	overlap_n	jaccard	overlap_coefficient	overlapping_genes
P1	B1	4	0.041666666666666664	0.08	LYZ;S100A8;THBD;TIMP1
P1	B2	3	0.030927835051546393	0.06	CCL4L2;IL1B;LYZ
P1	B3	5	0.05263157894736842	0.1	CCL4L2;CXCL1;CXCL3;LYZ;TIMP1
P1	B4	4	0.041666666666666664	0.08	G0S2;LYZ;S100A8;TIMP1
P1	B5	10	0.1111111111111111	0.2	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;INHBA;S100A8;TIMP1;VCAN
P1	B6	12	0.13636363636363635	0.24	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;IL1B;LYZ;S100A8;THBD;TIMP1;VCAN
P2	B1	4	0.041666666666666664	0.08	HSPH1;LYZ;MT2A;TIMP1
P2	B2	5	0.05263157894736842	0.1	HSPH1;LYZ;MGP;MT2A;SLC40A1
P2	B3	7	0.07526881720430108	0.14	CD36;HSPH1;LYZ;MGP;PDK4;SLC40A1;TIMP1
P2	B4	7	0.07526881720430108	0.14	AREG;CD36;FCN1;HSPH1;LYZ;MT2A;TIMP1
P2	B5	5	0.05263157894736842	0.1	HSPH1;MGP;MT1X;MT2A;TIMP1
P2	B6	7	0.07526881720430108	0.14	AREG;CD36;FCN1;HSPH1;LYZ;MGP;TIMP1
P3	B1	10	0.1111111111111111	0.2	CCL18;CCL5;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1
P3	B2	4	0.041666666666666664	0.08	CCL5;LYZ;NUPR1;SLC40A1
P3	B3	6	0.06382978723404255	0.12	CCL18;HMOX1;LYZ;NUPR1;RARRES1;SLC40A1
P3	B4	10	0.1111111111111111	0.2	CCL18;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1;RARRES1
P3	B5	7	0.07526881720430108	0.14	CCL5;FBP1;FN1;HMOX1;IL32;MMP9;NUPR1
P3	B6	2	0.02040816326530612	0.04	HMOX1;LYZ
P4	B1	8	0.08695652173913043	0.16	FBP1;FN1;HMOX1;LYZ;MT2A;NUPR1;S100A8;TIMP1
P4	B2	3	0.030927835051546393	0.06	LYZ;MT2A;NUPR1
P4	B3	6	0.06382978723404255	0.12	CD36;HMOX1;LYZ;MARCO;NUPR1;TIMP1
P4	B4	11	0.12359550561797752	0.22	CD36;CD52;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;TIMP1
P4	B5	9	0.0989010989010989	0.18	CD52;FBP1;FN1;HMOX1;MARCO;MT2A;NUPR1;S100A8;TIMP1
P4	B6	6	0.06382978723404255	0.12	CD36;CD52;HMOX1;LYZ;S100A8;TIMP1
P5	B1	6	0.06382978723404255	0.12	CCL2;EGR2;HMOX1;HSPH1;LYZ;OLFML3
P5	B2	10	0.1111111111111111	0.2	CCL2;CCL4L2;EGR2;GEM;HSPA6;HSPH1;IL1B;LYZ;OLFML3;TNF
P5	B3	7	0.07526881720430108	0.14	CCL2;CCL4L2;EGR2;HMOX1;HSPA6;HSPH1;LYZ
P5	B4	4	0.041666666666666664	0.08	GEM;HMOX1;HSPH1;LYZ
P5	B5	4	0.041666666666666664	0.08	CCL2;GEM;HMOX1;HSPH1
P5	B6	7	0.07526881720430108	0.14	CCL2;GEM;HMOX1;HSPH1;IL1B;LYZ;TNF
P6	B1	17	0.20481927710843373	0.34	APOBEC3A;CCL2;CCL5;CCL8;CXCL10;CXCL11;CXCL9;FN1;IDO1;IFIT1;IFIT2;IFIT3;IL32;LYZ;MT2A;RSAD2;TIMP1
P6	B2	8	0.08695652173913043	0.16	CCL2;CCL4L2;CCL5;IFIT1;IFIT2;IFIT3;LYZ;MT2A
P6	B3	5	0.05263157894736842	0.1	CCL2;CCL4L2;CCL8;LYZ;TIMP1
P6	B4	6	0.06382978723404255	0.12	CXCL9;FN1;IL32;LYZ;MT2A;TIMP1
P6	B5	9	0.0989010989010989	0.18	CCL2;CCL5;FN1;IFIT1;IFIT3;IL32;MT2A;RSAD2;TIMP1
P6	B6	3	0.030927835051546393	0.06	CCL2;LYZ;TIMP1
