validation_program	rank	gene	loading
B1	1	CCL4L2	7.791325616644035
B1	2	CCL3L1	7.1502052285170095
B1	3	TNF	3.8595842995660803
B1	4	CXCL2	2.7590537256941854
B1	5	CCL2	2.070917073683687
B1	6	EGR1	1.6406831091723288
B1	7	MIR155HG	1.4789022558532372
B1	8	IL1RN	1.4648972667972993
B1	9	IFIT2	1.435940475263292
B1	10	ISG15	1.2469609446949657
B1	11	CXCL1	1.1468240784043984
B1	12	CCL20	1.0288043943322271
B1	13	HSPA1B	0.9598082412006852
B1	14	C1QB	0.9307512892463877
B1	15	CCL5	0.8821046858696547
B1	16	CCL8	0.868226254041965
B1	17	NLRP3	0.8179909413095348
B1	18	IL6	0.805530624091657
B1	19	C1QA	0.6959673280404841
B1	20	RCAN1	0.6768227709928128
B1	21	IL1A	0.65377989375381
B1	22	ACOD1	0.6373700354023706
B1	23	IFIT1	0.5494188772473604
B1	24	OLFML3	0.5256504212757348
B1	25	MCTP1	0.4257081189609998
B1	26	IL10	0.4243737775634243
B1	27	APOC2	0.3993085656148874
B1	28	FCGBP	0.3676201932200048
B1	29	BIRC3	0.3507220292947411
B1	30	CXCL10	0.2936012419365966
B1	31	STAB1	0.2672965693542615
B1	32	AL136987.1	0.26124635063800905
B1	33	LPAR6	0.23815191074015113
B1	34	MMP19	0.20940463900691755
B1	35	AC015912.3	0.19984309829369226
B1	36	CCL7	0.19584354001612647
B1	37	AC097105.1	0.1946077845597307
B1	38	HSPA6	0.19156845267846564
B1	39	TNFAIP6	0.18601015476729915
B1	40	SPP1	0.1808624379777683
B1	41	APOD	0.1716063716169703
B1	42	MT-ND6	0.16602818175515668
B1	43	ANGPTL4	0.1579337949793185
B1	44	MUCL1	0.15733812722476798
B1	45	RSAD2	0.157136916706277
B1	46	MT2A	0.1324711437846805
B1	47	MGP	0.132132978544289
B1	48	CKB	0.1205059652549294
B1	49	HCAR3	0.1142257780991877
B1	50	SEC22B	0.11092950164610688
B2	1	C1QB	5.100971755922693
B2	2	C1QA	5.06363580396791
B2	3	SELENOP	3.9830993220304167
B2	4	SLC40A1	2.1997564696083187
B2	5	FOLR2	2.059707995107523
B2	6	STAB1	1.9696205939482008
B2	7	CXCL2	1.83131249044109
B2	8	F13A1	1.6714301675509686
B2	9	EGR1	1.568050290821689
B2	10	HMOX1	1.370366265969191
B2	11	CCL2	1.2106748556690627
B2	12	CD36	0.9318139667352531
B2	13	CCL18	0.9250179254022577
B2	14	LYVE1	0.866538590364887
B2	15	NUPR1	0.8444794385677575
B2	16	PDK4	0.8421645766972383
B2	17	FABP5	0.8172982366032905
B2	18	HSPA1B	0.7857793739380753
B2	19	MT-ND6	0.7359264566750131
B2	20	EGFL7	0.6917543168087145
B2	21	TXN	0.6884721237410261
B2	22	CD209	0.6833282779041925
B2	23	FABP4	0.6203279857249984
B2	24	LPAR6	0.6050996761013598
B2	25	MMP19	0.5286870656492022
B2	26	MMP9	0.5182006483300191
B2	27	S100A9	0.47992651877742515
B2	28	RARRES1	0.44318648854482207
B2	29	ARPC1A	0.43659492406387934
B2	30	CCL8	0.41380526514291804
B2	31	SAMSN1	0.375604586684377
B2	32	APOC2	0.34936540255252296
B2	33	FSCN1	0.3337112514665396
B2	34	MCTP1	0.2882928377614306
B2	35	CCL13	0.27818263866697734
B2	36	SH3BP1	0.2779627166143586
B2	37	HSPA6	0.27696798737577416
B2	38	CXCL1	0.27439742969030106
B2	39	MTRNR2L12	0.27384479507791887
B2	40	FABP3	0.26433476480383483
B2	41	HLA-DQB2	0.253047656737115
B2	42	SCD	0.25082585644096744
B2	43	TTN	0.24733153871438493
B2	44	SCN1B	0.2450172444371743
B2	45	SEC22B	0.24468745078707696
B2	46	PDGFC	0.23239951977116008
B2	47	ERCC5	0.22024489846386786
B2	48	CCL4L2	0.2124439088532716
B2	49	IL10	0.20927355693309643
B2	50	AL138963.4	0.20353188447980647
B3	1	CXCL2	4.209060441274149
B3	2	S100A9	4.005215181711171
B3	3	S100A8	3.8939035553577925
B3	4	AREG	2.921379952618331
B3	5	FCN1	2.7177983480720362
B3	6	EREG	2.6123753127407205
B3	7	VCAN	1.8759763483452663
B3	8	NLRP3	1.5027497719832832
B3	9	CCL20	1.4450801000953868
B3	10	IL1RN	1.4216330099557917
