module	contrast	paired_patients	patients_increased	median_change	median_change_in_baseline_sd	wilcoxon_statistic	p_value	analysis_status	fdr_across_modules_and_contrasts
P4_primary	PD1_minus_Base	33	20	0.1799018254190845	0.4480393091922267	167.0	0.042404816253110766	exploratory specificity audit	0.11131264266441576
P4_primary	RTPD1_minus_PD1	34	8	-0.2549533240234714	-0.6349524853660562	118.0	0.001570128952153027	exploratory specificity audit	0.016486353997606784
P4_primary	RTPD1_minus_Base	34	15	-0.13420878298224445	-0.33424235843532146	258.0	0.5097294937586412	exploratory specificity audit	0.5946844093850814
P3_secondary	PD1_minus_Base	33	21	0.12035084084042413	0.2520841588158705	167.0	0.042404816253110766	exploratory specificity audit	0.11131264266441576
P3_secondary	RTPD1_minus_PD1	34	10	-0.24119375863579212	-0.5051990109313763	170.0	0.02860867523122579	exploratory specificity audit	0.11131264266441576
P3_secondary	RTPD1_minus_Base	34	16	-0.014524189763060302	-0.030422040538609592	293.0	0.9461913725826889	exploratory specificity audit	0.9718779842369258
P1_inflammatory	PD1_minus_Base	33	19	0.014112306636919758	0.04096234139266708	278.0	0.9718779842369258	exploratory specificity audit	0.9718779842369258
P1_inflammatory	RTPD1_minus_PD1	34	14	-0.04784458482645371	-0.13887355680923472	212.0	0.14780059340409935	exploratory specificity audit	0.3207052413490601
P1_inflammatory	RTPD1_minus_Base	34	15	-0.03192004446771368	-0.09265103093316782	245.0	0.3786884272703901	exploratory specificity audit	0.5301637981785461
P6_interferon	PD1_minus_Base	33	16	-0.002305673961662924	-0.006149679273232273	240.0	0.4797959038987756	exploratory specificity audit	0.592689057757311
P6_interferon	RTPD1_minus_PD1	34	11	-0.13425312100614573	-0.35807909068929256	126.0	0.0026452430756762624	exploratory specificity audit	0.018516701529733837
P6_interferon	RTPD1_minus_Base	34	14	-0.029382730273767255	-0.07836943573116403	226.0	0.22799336758907884	exploratory specificity audit	0.43526006539733236
hypoxia	PD1_minus_Base	33	17	0.004790807751106185	0.0220838482190112	275.0	0.9297692913096398	exploratory specificity audit	0.9718779842369258
hypoxia	RTPD1_minus_PD1	34	6	-0.12088501866608731	-0.5572351350474881	104.0	0.0005828350549563766	exploratory specificity audit	0.012239536154083908
hypoxia	RTPD1_minus_Base	34	9	-0.08012789829947925	-0.36935991508853283	172.0	0.031331676873378456	exploratory specificity audit	0.11131264266441576
macrophage_identity	PD1_minus_Base	33	22	0.07926009898990571	0.19654846539602877	238.0	0.45800650864839554	exploratory specificity audit	0.592689057757311
macrophage_identity	RTPD1_minus_PD1	34	19	0.12926966462210832	0.32056172686550066	232.0	0.27023737831041217	exploratory specificity audit	0.4729154120432213
macrophage_identity	RTPD1_minus_Base	34	21	0.16408002003719524	0.4068841264577222	235.0	0.2932030075462535	exploratory specificity audit	0.4736356275747172
phagolysosome	PD1_minus_Base	33	21	0.12152464547565067	0.39362730532013496	167.0	0.042404816253110766	exploratory specificity audit	0.11131264266441576
phagolysosome	RTPD1_minus_PD1	34	13	-0.057853039641556414	-0.1873902697642317	213.0	0.15271678159479052	exploratory specificity audit	0.3207052413490601
phagolysosome	RTPD1_minus_Base	34	20	0.046019431576783676	0.14906033893810625	241.0	0.34285025869030505	exploratory specificity audit	0.5142753880354576
