cohort	treatment	subcluster	cells
Patient01	Base	myeloid_00	76
Patient01	Base	myeloid_01	116
Patient01	Base	myeloid_02	86
Patient01	Base	myeloid_03	670
Patient01	Base	myeloid_04	409
Patient01	Base	myeloid_05	140
Patient01	Base	myeloid_06	417
Patient01	Base	myeloid_07	36
Patient01	Base	myeloid_08	55
Patient01	Base	myeloid_09	778
Patient01	Base	myeloid_10	27
Patient01	Base	myeloid_11	638
Patient01	RTPD1	myeloid_00	107
Patient01	RTPD1	myeloid_01	386
Patient01	RTPD1	myeloid_02	91
Patient01	RTPD1	myeloid_03	836
Patient01	RTPD1	myeloid_04	271
Patient01	RTPD1	myeloid_05	89
Patient01	RTPD1	myeloid_06	11
Patient01	RTPD1	myeloid_07	88
Patient01	RTPD1	myeloid_08	50
Patient01	RTPD1	myeloid_09	247
Patient01	RTPD1	myeloid_10	391
Patient01	RTPD1	myeloid_11	2447
Patient02	Base	myeloid_01	64
Patient02	Base	myeloid_03	263
Patient02	Base	myeloid_04	13
Patient02	Base	myeloid_05	25
Patient02	Base	myeloid_06	13
Patient02	Base	myeloid_07	47
Patient02	Base	myeloid_08	24
Patient02	Base	myeloid_09	119
Patient02	Base	myeloid_10	1
Patient02	Base	myeloid_11	413
Patient02	PD1	myeloid_00	2
Patient02	PD1	myeloid_01	8
Patient02	PD1	myeloid_02	10
Patient02	PD1	myeloid_03	80
Patient02	PD1	myeloid_04	31
Patient02	PD1	myeloid_05	1
Patient02	PD1	myeloid_06	4
Patient02	PD1	myeloid_07	35
Patient02	PD1	myeloid_08	30
Patient02	PD1	myeloid_09	33
Patient02	PD1	myeloid_10	3
Patient02	PD1	myeloid_11	181
Patient02	RTPD1	myeloid_00	6
Patient02	RTPD1	myeloid_01	21
Patient02	RTPD1	myeloid_02	31
Patient02	RTPD1	myeloid_03	46
Patient02	RTPD1	myeloid_04	62
Patient02	RTPD1	myeloid_05	6
Patient02	RTPD1	myeloid_06	1
Patient02	RTPD1	myeloid_07	20
Patient02	RTPD1	myeloid_08	20
Patient02	RTPD1	myeloid_09	89
Patient02	RTPD1	myeloid_10	3
Patient02	RTPD1	myeloid_11	314
Patient03T1	Base	myeloid_00	6
Patient03T1	Base	myeloid_03	41
Patient03T1	Base	myeloid_04	13
Patient03T1	Base	myeloid_05	5
Patient03T1	Base	myeloid_06	22
Patient03T1	Base	myeloid_08	1
Patient03T1	Base	myeloid_09	1
Patient03T1	Base	myeloid_11	90
Patient03T1	PD1	myeloid_00	5
Patient03T1	PD1	myeloid_01	2
Patient03T1	PD1	myeloid_02	2
Patient03T1	PD1	myeloid_03	15
Patient03T1	PD1	myeloid_04	8
Patient03T1	PD1	myeloid_05	3
Patient03T1	PD1	myeloid_06	1
Patient03T1	PD1	myeloid_07	1
Patient03T1	PD1	myeloid_08	1
Patient03T1	PD1	myeloid_09	13
Patient03T1	PD1	myeloid_11	5
Patient03T1	RTPD1	myeloid_04	1
Patient03T2	Base	myeloid_01	1
Patient03T2	Base	myeloid_02	2
Patient03T2	Base	myeloid_03	29
Patient03T2	Base	myeloid_04	1
Patient03T2	Base	myeloid_05	1
Patient03T2	Base	myeloid_06	4
Patient03T2	Base	myeloid_07	5
Patient03T2	Base	myeloid_08	5
Patient03T2	Base	myeloid_09	3
Patient03T2	Base	myeloid_11	8
Patient03T2	PD1	myeloid_00	547
Patient03T2	PD1	myeloid_01	16
Patient03T2	PD1	myeloid_02	3
Patient03T2	PD1	myeloid_03	50
Patient03T2	PD1	myeloid_04	451
Patient03T2	PD1	myeloid_05	47
Patient03T2	PD1	myeloid_06	5
Patient03T2	PD1	myeloid_07	1
Patient03T2	PD1	myeloid_08	11
Patient03T2	PD1	myeloid_09	52
Patient03T2	PD1	myeloid_10	98
Patient03T2	PD1	myeloid_11	153
Patient03T2	RTPD1	myeloid_00	1
Patient03T2	RTPD1	myeloid_01	2
Patient03T2	RTPD1	myeloid_02	1
Patient03T2	RTPD1	myeloid_03	9
Patient03T2	RTPD1	myeloid_04	58
Patient03T2	RTPD1	myeloid_08	4
Patient03T2	RTPD1	myeloid_09	14
Patient03T2	RTPD1	myeloid_10	20
Patient03T2	RTPD1	myeloid_11	17
Patient04	Base	myeloid_01	2
Patient04	Base	myeloid_03	12
Patient04	Base	myeloid_04	42
Patient04	Base	myeloid_05	3
Patient04	Base	myeloid_07	2
Patient04	Base	myeloid_08	11
Patient04	Base	myeloid_09	70
Patient04	Base	myeloid_11	15
Patient04	PD1	myeloid_01	1
Patient04	PD1	myeloid_03	5
Patient04	PD1	myeloid_04	2
Patient04	PD1	myeloid_05	5
Patient04	PD1	myeloid_08	1
Patient04	PD1	myeloid_09	14
Patient04	PD1	myeloid_11	2
Patient04	RTPD1	myeloid_00	96
Patient04	RTPD1	myeloid_01	11
Patient04	RTPD1	myeloid_02	6
Patient04	RTPD1	myeloid_03	17
Patient04	RTPD1	myeloid_04	24
Patient04	RTPD1	myeloid_05	8
Patient04	RTPD1	myeloid_07	6
Patient04	RTPD1	myeloid_08	6
Patient04	RTPD1	myeloid_09	54
Patient04	RTPD1	myeloid_10	3
Patient04	RTPD1	myeloid_11	48
Patient05	Base	myeloid_00	2
Patient05	Base	myeloid_01	14
Patient05	Base	myeloid_02	16
Patient05	Base	myeloid_03	118
Patient05	Base	myeloid_04	162
Patient05	Base	myeloid_05	5
Patient05	Base	myeloid_07	18
Patient05	Base	myeloid_08	13
Patient05	Base	myeloid_09	46
Patient05	Base	myeloid_10	4
Patient05	Base	myeloid_11	291
Patient05	PD1	myeloid_00	2
Patient05	PD1	myeloid_01	13
Patient05	PD1	myeloid_02	5
Patient05	PD1	myeloid_03	48
Patient05	PD1	myeloid_04	13
Patient05	PD1	myeloid_05	6
Patient05	PD1	myeloid_06	9
Patient05	PD1	myeloid_07	18
Patient05	PD1	myeloid_08	6
Patient05	PD1	myeloid_09	49
Patient05	PD1	myeloid_10	6
Patient05	PD1	myeloid_11	77
Patient05	RTPD1	myeloid_00	1
Patient05	RTPD1	myeloid_01	18
Patient05	RTPD1	myeloid_02	2
Patient05	RTPD1	myeloid_03	38
Patient05	RTPD1	myeloid_04	92
Patient05	RTPD1	myeloid_05	4
Patient05	RTPD1	myeloid_07	8
Patient05	RTPD1	myeloid_08	15
Patient05	RTPD1	myeloid_09	89
Patient05	RTPD1	myeloid_10	11
Patient05	RTPD1	myeloid_11	50
Patient06	Base	myeloid_00	8
Patient06	Base	myeloid_01	16
Patient06	Base	myeloid_02	781
Patient06	Base	myeloid_03	282
Patient06	Base	myeloid_04	681
Patient06	Base	myeloid_05	35
Patient06	Base	myeloid_06	6
Patient06	Base	myeloid_07	14
Patient06	Base	myeloid_08	21
Patient06	Base	myeloid_09	310
Patient06	Base	myeloid_10	646
Patient06	Base	myeloid_11	259
Patient06	PD1	myeloid_00	235
Patient06	PD1	myeloid_01	12
Patient06	PD1	myeloid_02	4
Patient06	PD1	myeloid_03	63
Patient06	PD1	myeloid_04	135
Patient06	PD1	myeloid_05	23
Patient06	PD1	myeloid_06	2
Patient06	PD1	myeloid_07	9
Patient06	PD1	myeloid_08	4
Patient06	PD1	myeloid_09	92
Patient06	PD1	myeloid_10	302
Patient06	PD1	myeloid_11	140
Patient06	RTPD1	myeloid_00	13
Patient06	RTPD1	myeloid_01	16
Patient06	RTPD1	myeloid_02	7
Patient06	RTPD1	myeloid_03	98
Patient06	RTPD1	myeloid_04	692
Patient06	RTPD1	myeloid_05	32
Patient06	RTPD1	myeloid_07	34
Patient06	RTPD1	myeloid_08	8
Patient06	RTPD1	myeloid_09	184
Patient06	RTPD1	myeloid_10	894
Patient06	RTPD1	myeloid_11	101
Patient07	Base	myeloid_00	1
Patient07	Base	myeloid_01	13
Patient07	Base	myeloid_03	30
Patient07	Base	myeloid_04	39
Patient07	Base	myeloid_05	4
Patient07	Base	myeloid_07	16
Patient07	Base	myeloid_08	11
Patient07	Base	myeloid_09	97
Patient07	Base	myeloid_10	56
Patient07	Base	myeloid_11	38
Patient07	PD1	myeloid_00	2
Patient07	PD1	myeloid_01	15
Patient07	PD1	myeloid_02	2
Patient07	PD1	myeloid_03	5
Patient07	PD1	myeloid_04	32
Patient07	PD1	myeloid_05	3
Patient07	PD1	myeloid_09	9
Patient07	PD1	myeloid_10	62
Patient07	PD1	myeloid_11	28
Patient07	RTPD1	myeloid_00	259
Patient07	RTPD1	myeloid_01	58
Patient07	RTPD1	myeloid_02	51
Patient07	RTPD1	myeloid_03	261
Patient07	RTPD1	myeloid_04	546
Patient07	RTPD1	myeloid_05	63
Patient07	RTPD1	myeloid_06	10
Patient07	RTPD1	myeloid_07	19
Patient07	RTPD1	myeloid_08	17
Patient07	RTPD1	myeloid_09	143
Patient07	RTPD1	myeloid_10	292
Patient07	RTPD1	myeloid_11	192
Patient09	Base	myeloid_00	16
Patient09	Base	myeloid_01	503
Patient09	Base	myeloid_02	9
Patient09	Base	myeloid_03	192
Patient09	Base	myeloid_04	118
Patient09	Base	myeloid_05	94
Patient09	Base	myeloid_06	113
Patient09	Base	myeloid_07	98
Patient09	Base	myeloid_08	29
Patient09	Base	myeloid_09	98
Patient09	Base	myeloid_11	551
Patient09	PD1	myeloid_00	3
Patient09	PD1	myeloid_01	103
Patient09	PD1	myeloid_02	3
Patient09	PD1	myeloid_03	77
Patient09	PD1	myeloid_04	56
Patient09	PD1	myeloid_05	69
Patient09	PD1	myeloid_06	35
Patient09	PD1	myeloid_07	41
Patient09	PD1	myeloid_08	22
Patient09	PD1	myeloid_09	45
Patient09	PD1	myeloid_10	2
Patient09	PD1	myeloid_11	700
Patient09	RTPD1	myeloid_00	3
Patient09	RTPD1	myeloid_01	402
Patient09	RTPD1	myeloid_02	2
Patient09	RTPD1	myeloid_03	24
Patient09	RTPD1	myeloid_04	150
Patient09	RTPD1	myeloid_05	26
Patient09	RTPD1	myeloid_06	2
Patient09	RTPD1	myeloid_07	63
Patient09	RTPD1	myeloid_08	37
Patient09	RTPD1	myeloid_09	91
Patient09	RTPD1	myeloid_10	2
Patient09	RTPD1	myeloid_11	590
Patient10	Base	myeloid_00	32
Patient10	Base	myeloid_01	1050
Patient10	Base	myeloid_02	62
Patient10	Base	myeloid_03	852
Patient10	Base	myeloid_04	326
Patient10	Base	myeloid_05	328
Patient10	Base	myeloid_06	194
Patient10	Base	myeloid_07	25
Patient10	Base	myeloid_08	32
Patient10	Base	myeloid_09	98
Patient10	Base	myeloid_10	21
Patient10	Base	myeloid_11	387
Patient10	PD1	myeloid_00	9
Patient10	PD1	myeloid_01	541
Patient10	PD1	myeloid_02	12
Patient10	PD1	myeloid_03	162
Patient10	PD1	myeloid_04	704
Patient10	PD1	myeloid_05	101
Patient10	PD1	myeloid_06	75
Patient10	PD1	myeloid_07	21
Patient10	PD1	myeloid_08	29
Patient10	PD1	myeloid_09	107
Patient10	PD1	myeloid_10	18
Patient10	PD1	myeloid_11	204
Patient10	RTPD1	myeloid_00	38
Patient10	RTPD1	myeloid_01	2996
Patient10	RTPD1	myeloid_02	49
Patient10	RTPD1	myeloid_03	109
Patient10	RTPD1	myeloid_04	1461
Patient10	RTPD1	myeloid_05	493
Patient10	RTPD1	myeloid_06	29
Patient10	RTPD1	myeloid_07	31
Patient10	RTPD1	myeloid_08	9
Patient10	RTPD1	myeloid_09	104
Patient10	RTPD1	myeloid_10	48
Patient10	RTPD1	myeloid_11	1027
Patient11	Base	myeloid_00	1
Patient11	Base	myeloid_01	3
Patient11	Base	myeloid_03	27
Patient11	Base	myeloid_04	7
Patient11	Base	myeloid_05	5
Patient11	Base	myeloid_06	2
Patient11	Base	myeloid_07	4
