subcluster	P1_projection	P2_projection	P3_projection	P4_projection	P5_projection	P6_projection	cells
myeloid_00	1.051749313191532	1.232660879609328	1.6753163057173917	2.0931293972212885	1.02745403360727	0.8142730906114214	7587
myeloid_01	1.491782066962825	1.1271181318554744	1.2952925154209156	1.4329010701733023	1.6307922697378912	1.1362823854344728	10253
myeloid_02	1.5167554999907542	1.363799018235767	1.725386170888394	1.9397542731286666	1.3730337083953041	0.8246777045032565	3952
myeloid_03	1.5719214425618269	1.3030099411159666	1.0757893550828044	1.285065895438998	1.1525698049235453	1.0660776113645167	12756
myeloid_04	1.1491427248335015	1.0745081552125177	1.216069733139654	1.214175750625447	1.3760485945502317	0.8169724670743728	14795
myeloid_05	1.1242161130111548	1.3180271323385937	1.318806315761085	1.5523615579891152	1.2541319907667763	1.1379394526663886	4449
myeloid_06	1.457760132906781	1.4245566460029297	1.646825407137852	2.0484251877045976	1.402460673191209	1.050695808034811	4000
myeloid_07	0.48611624840964796	0.8943124025352572	0.8781502137635038	0.7912305268537538	0.7021096134275141	0.7016774766761147	2106
myeloid_08	0.557585815031067	1.1040799797747183	0.850013603239756	0.8852278320292004	0.7374570860172036	0.6505949133151218	1810
myeloid_09	0.74604057673839	1.2060354416784698	0.8859123649590643	0.9455234328748082	0.8220719316561369	0.7641522528880973	8614
myeloid_10	1.2037864125971673	1.4238488656327322	1.6654516943312896	1.951296112924404	1.1798015086341487	0.8211767274503017	8323
myeloid_11	1.213988575557742	1.343781760655483	1.872666043975485	1.8267659673315	1.3999737030720159	1.1873521278111798	31523
