discovery_program	validation_program	overlap_n	jaccard	overlap_coefficient	overlapping_genes
P1	B1	9	0.0989010989010989	0.18	BIRC3;CCL20;CCL4L2;CXCL1;CXCL2;EGR1;HCAR3;IL1RN;TNFAIP6
P1	B2	6	0.06382978723404255	0.12	CCL4L2;CXCL1;CXCL2;EGR1;FABP5;TXN
P1	B3	13	0.14942528735632185	0.26	BIRC3;CCL20;CXCL1;CXCL2;EGR1;EREG;FABP5;HCAR3;IL1RN;S100A8;TNFAIP6;TXN;VCAN
P1	B4	7	0.07526881720430108	0.14	CCL20;CXCL1;CXCL2;FABP5;IL1RN;TNFAIP6;TXN
P1	B5	4	0.041666666666666664	0.08	BIRC3;FABP5;IL1RN;TXN
P2	B1	4	0.041666666666666664	0.08	BIRC3;ISG15;MGP;MT2A
P2	B2	5	0.05263157894736842	0.1	CD36;FABP5;PDK4;SLC40A1;TXN
P2	B3	11	0.12359550561797752	0.22	AREG;BIRC3;CD36;FABP5;FCN1;ISG15;MGP;MT1X;MT2A;THBS1;TXN
P2	B4	7	0.07526881720430108	0.14	CD36;FABP5;ISG15;MGP;MT1X;MT2A;TXN
P2	B5	7	0.07526881720430108	0.14	AREG;BIRC3;FABP5;ISG15;MT1X;MT2A;TXN
P3	B1	1	0.010101010101010102	0.02	CCL5
P3	B2	7	0.07526881720430108	0.14	CCL18;HMOX1;MMP9;NUPR1;RARRES1;SLC40A1;TXN
P3	B3	2	0.02040816326530612	0.04	HMOX1;TXN
P3	B4	6	0.06382978723404255	0.12	CCL18;CCL5;HMOX1;MMP9;NUPR1;TXN
P3	B5	4	0.041666666666666664	0.08	CCL5;CXCL9;MMP9;TXN
P4	B1	4	0.041666666666666664	0.08	HSPA1B;ISG15;MT2A;SPP1
P4	B2	6	0.06382978723404255	0.12	CD36;FABP5;HMOX1;HSPA1B;NUPR1;TXN
P4	B3	7	0.07526881720430108	0.14	CD36;FABP5;HMOX1;ISG15;MT2A;S100A8;TXN
P4	B4	9	0.0989010989010989	0.18	CD36;FABP5;HMOX1;HSPA1B;ISG15;MT2A;NUPR1;SPP1;TXN
P4	B5	5	0.05263157894736842	0.1	FABP5;HSPA1B;ISG15;MT2A;TXN
P5	B1	8	0.08695652173913043	0.16	CCL2;CCL4L2;CXCL2;EGR1;HSPA1B;HSPA6;OLFML3;TNF
P5	B2	7	0.07526881720430108	0.14	CCL2;CCL4L2;CXCL2;EGR1;HMOX1;HSPA1B;HSPA6
P5	B3	4	0.041666666666666664	0.08	CXCL2;EGR1;HMOX1;TNF
P5	B4	5	0.05263157894736842	0.1	CCL2;CXCL2;HMOX1;HSPA1B;TNF
P5	B5	3	0.030927835051546393	0.06	CCL2;HSPA1B;OLFML3
P6	B1	11	0.12359550561797752	0.22	CCL2;CCL4L2;CCL5;CCL8;CXCL10;IFIT1;IFIT2;IL1RN;ISG15;MT2A;RSAD2
P6	B2	4	0.041666666666666664	0.08	CCL2;CCL4L2;CCL8;TXN
P6	B3	5	0.05263157894736842	0.1	APOBEC3A;IL1RN;ISG15;MT2A;TXN
P6	B4	9	0.0989010989010989	0.18	CCL2;CCL5;CCL8;IFIT1;IL1RN;ISG15;MT2A;RSAD2;TXN
P6	B5	15	0.17647058823529413	0.3	APOBEC3A;CCL2;CCL5;CCL8;CXCL10;CXCL11;CXCL9;IDO1;IFIT1;IFIT2;IL1RN;ISG15;MT2A;RSAD2;TXN
