patient	array	spots	retained_minimum_genes	pathology_classes	median_umi	median_features
1	CN1_C1	1039	1039	10	16563	4431
2	CN1_E1	1197	1197	9	4593	1947
3	CN2_C1	595	595	6	25766	5258
4	CN2_D2	629	629	8	5637	2122
5	CN3_D1	1572	1572	12	2306.5	1066.5
6	CN3_E1	660	660	8	18973	4584
7	CN4_D1	891	891	11	6983	2525
8	CN4_D2	262	262	6	3256	1526.5
9	CN5_D1	1167	1167	9	2110	1054
10	CN5_E1	696	696	9	1080.5	626.5
11	CN6_C1	1567	1567	9	4925	1814
12	CN6_E1	889	889	10	6250	2481
13	CN7_C1	1165	1165	9	3844	1499
14	CN7_D2	484	484	8	24445.5	5077.5
15	CN8_C2	1327	1327	8	14661	3717
16	CN8_E2	1350	1350	10	5676	1998
19	CN10_D1	1359	1359	7	6013	2271
20	CN10_D2	1441	1441	9	11684	3650
21	CN11_C1	545	545	7	6932	2729
22	CN11_E2	1777	1777	10	5263	2149
23	CN12_D1	1335	1335	5	4776	1993
24	CN12_E2	536	536	6	3923.5	1828
93	CN47_C2	994	994	5	9883.5	2789.5
25	CN13_D1	1338	1338	5	19466.5	5558
26	CN13_D2	204	204	6	1239	687.5
27	CN14_C2	1173	1173	7	9356	2981
28	CN14_E1	653	653	8	8063	2581
29	CN15_C1	895	895	9	2650	1247
30	CN15_D2	1189	1189	11	13676	4186
31	CN16_C2	689	689	8	21278	5158
32	CN16_E1	726	726	9	12320.5	4164.5
33	CN17_D1	1119	1119	11	10163	2941
34	CN17_E1	444	444	5	805	509
35	CN18_C1	869	869	8	20360	4257
36	CN18_E1	1062	1062	6	2901.5	1392.5
37	CN19_C1	1511	1511	8	12253	3186
38	CN19_E1	1515	1515	9	7821	2558
39	CN20_C1	961	961	8	8172	2795
40	CN20_E1	1247	1247	9	4127	1783
41	CN21_C1	892	892	8	17299	4194.5
42	CN21_D2	784	784	8	7055	2445
43	CN22_D1	1456	1456	8	6025	2352.5
44	CN22_E2	824	824	9	2626	1240.5
45	CN23_C1	1581	1581	9	8398	2676
46	CN23_E1	766	766	8	2391.5	1243.5
94	CN47_E2	1246	1246	6	9840.5	3339
95	CN48_C2	1584	1584	11	3374.5	1340
47	CN24_C1	1113	1113	10	2608	1373
48	CN24_E1	656	656	8	4001.5	1842.5
49	CN25_D1	357	357	7	1211	683
50	CN25_E1	812	812	10	15201	3841
51	CN26_C1	1550	1550	10	8029	2948
52	CN26_E2	943	943	6	9592	3062
53	CN27_C1	472	472	9	10635.5	3830
54	CN27_D2	1330	1330	7	9313.5	3426
55	CN28_D1	405	405	8	2373	1161
56	CN28_E2	893	893	7	4051	1644
57	CN29_C2	1121	1121	8	4189	1726
58	CN29_E2	857	857	7	13669	3790
59	CN30_C1	721	721	8	18845	4160
60	CN30_E1	803	803	9	8640	3175
61	CN31_C1	729	729	9	9476	3394
62	CN31_D2	1407	1407	9	8402	2745
63	CN32_C2	676	676	8	3886.5	1793.5
64	CN32_E1	1383	1383	9	3165	1418
65	CN33_C2	951	951	8	10044	2955
66	CN33_D2	1616	1616	8	2790.5	1227
67	CN34_C1	1221	1221	10	3631	1621
68	CN34_D2	630	630	5	1584.5	926
96	CN48_E1	1324	1324	8	10480.5	2731.5
69	CN35_C1	1496	1496	6	12222.5	3198.5
70	CN35_E1	966	966	7	8932	2944.5
71	CN36_C2	1259	1259	9	8430	2708
72	CN36_E1	1574	1574	10	11258	3464.5
73	CN37_C1	1236	1236	10	9279	3198.5
74	CN37_E2	1098	1098	7	5731	2414
75	CN38_D1	720	720	9	3590	1614
76	CN38_E1	1130	1130	7	21572.5	4996.5
77	CN39_C1	1034	1034	9	8502	2856.5
78	CN39_D2	670	670	10	11233.5	3610.5
79	CN40_C1	643	643	6	6512	1970
80	CN40_E2	811	811	12	3526	1638
81	CN41_C1	1689	1689	8	10901	3346
82	CN41_E1	1355	1355	13	3164	1486
83	CN42_C2	1413	1413	8	9778	2947
84	CN42_E1	1627	1627	7	14524	3804
85	CN43_C2	958	958	11	6077	2264
86	CN43_E1	758	758	12	3826	1611.5
87	CN44_D1	427	427	10	6454	2239
88	CN44_E2	1199	1199	7	10668	3151
89	CN45_C2	1129	1129	10	4515	1722
90	CN45_D2	1108	1108	6	15268	4235
91	CN46_C2	1407	1407	13	10474	3247
92	CN46_E2	824	824	7	13016	3674
