patient	array	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	alternative	P4_residual_r_squared	fdr_within_target
1	CN1_C1	fibrovascular	1039	260	0.10785668008375185	0.005164369845223105	0.10269231023852875	0.004997501249375313	greater	0.3727141546545185	0.01304903104003554
1	CN1_C1	fibroblast_ecm	1039	260	0.036200215798780855	-0.0013336688843549327	0.03753388468313579	0.0069965017491254375	two-sided	0.3727141546545185	0.014947071918586163
1	CN1_C1	endothelial_angiogenic	1039	260	0.015108172787925256	0.0025403481108884074	0.012567824677036848	0.06996501749125437	two-sided	0.3727141546545185	0.1429719922647372
1	CN1_C1	malignant_epithelial	1039	260	-0.0313779911849037	-0.008261205016754425	-0.023116786168149273	0.018490754622688656	two-sided	0.3727141546545185	0.04828141484813149
1	CN1_C1	cd8_cytotoxic	1039	260	0.02278594264736121	0.003655413716963544	0.019130528930397666	0.0009995002498750624	two-sided	0.3727141546545185	0.004473953499440755
1	CN1_C1	treg	1039	260	-0.0003342342134941313	0.0006316003900367906	-0.0009658346035309219	0.6596701649175413	two-sided	0.3727141546545185	0.8267866066966517
2	CN1_E1	fibrovascular	1197	300	0.06739839071960108	0.015907157965461008	0.05149123275414007	0.07846076961519241	greater	0.3035856603861642	0.12939144462856292
2	CN1_E1	fibroblast_ecm	1197	300	0.028598906725398998	0.009134561709688793	0.019464345015710205	0.17691154422788605	two-sided	0.3035856603861642	0.25584131011417366
2	CN1_E1	endothelial_angiogenic	1197	300	0.007715497622172829	0.0007454740326146292	0.0069700235895582	0.28735632183908044	two-sided	0.3035856603861642	0.44248843320275344
2	CN1_E1	malignant_epithelial	1197	300	-0.0013966916659988726	0.001566596317330582	-0.0029632879833294545	0.8290854572713643	two-sided	0.3035856603861642	0.8669776222999611
2	CN1_E1	cd8_cytotoxic	1197	300	0.0007089589412686073	1.5471513499558387e-05	0.0006934874277690489	0.8390804597701149	two-sided	0.3035856603861642	0.8862198114425932
2	CN1_E1	treg	1197	300	2.5035211852758935e-05	0.00010029784062586672	-7.526262877310778e-05	0.9485257371314343	two-sided	0.3035856603861642	0.9728684045074236
3	CN2_C1	fibrovascular	595	149	0.21197569873029792	0.006887892954079803	0.20508780577621813	0.0004997501249375312	greater	0.423137976507612	0.0018067889132356897
3	CN2_C1	fibroblast_ecm	595	149	0.03932205686674606	0.0018320627790046617	0.037489994087741396	0.0014992503748125937	two-sided	0.423137976507612	0.0037086719797995737
3	CN2_C1	endothelial_angiogenic	595	149	0.031146052011039982	0.0005069706240000138	0.030639081387039968	0.0004997501249375312	two-sided	0.423137976507612	0.0036135778264713794
3	CN2_C1	malignant_epithelial	595	149	-0.021213564371761695	-0.0049653029211830235	-0.01624826145057867	0.06346826586706647	two-sided	0.423137976507612	0.1491504247876062
3	CN2_C1	cd8_cytotoxic	595	149	0.02695948466394936	0.0020175266890271465	0.024941957974922213	0.0004997501249375312	two-sided	0.423137976507612	0.002472447986533049
3	CN2_C1	treg	595	149	0.0031362659300673834	-0.00025833061263936044	0.003394596542706744	0.03248375812093953	two-sided	0.423137976507612	0.12918540729635183
4	CN2_D2	fibrovascular	629	158	0.16032164644689412	0.055876362071250005	0.10444528437564411	0.0074962518740629685	greater	0.3386677599800789	0.017616191904047975
4	CN2_D2	fibroblast_ecm	629	158	0.050759321512752864	0.016071954430838198	0.034687367081914666	0.01649175412293853	two-sided	0.3386677599800789	0.02981201706838888
4	CN2_D2	endothelial_angiogenic	629	158	0.0285046973545921	0.011364809517776853	0.01713988783681525	0.07646176911544228	two-sided	0.3386677599800789	0.14859916980285368
4	CN2_D2	malignant_epithelial	629	158	-0.0873839892718602	-0.046203938599193695	-0.0411800506726665	0.08095952023988005	two-sided	0.3386677599800789	0.17698127680345874
4	CN2_D2	cd8_cytotoxic	629	158	0.022279871845174215	0.007931883440685142	0.014347988404489073	0.16391804097951024	two-sided	0.3386677599800789	0.27444172650516846
4	CN2_D2	treg	629	158	-0.009038183092103386	-0.0012202065476059482	-0.007817976544497438	0.07296351824087956	two-sided	0.3386677599800789	0.23650243843595445
5	CN3_D1	fibrovascular	1572	393	-0.13523044557289537	-0.025987562320249784	-0.10924288325264558	1.0	greater	0.41596917215986895	1.0
5	CN3_D1	fibroblast_ecm	1572	393	-0.031856510697107376	-0.004367185438576587	-0.02748932525853079	0.0004997501249375312	two-sided	0.41596917215986895	0.0014680159920039979
5	CN3_D1	endothelial_angiogenic	1572	393	-0.01594994787760004	-0.004783221242871241	-0.011166726634728799	0.02948525737131434	two-sided	0.41596917215986895	0.0839883088758651
5	CN3_D1	malignant_epithelial	1572	393	-0.01832310449783192	-0.008290045069886065	-0.010033059427945856	0.13493253373313344	two-sided	0.41596917215986895	0.23931430511159513
5	CN3_D1	cd8_cytotoxic	1572	393	-0.03322286153670817	-0.012521799076614826	-0.020701062460093345	0.02148925537231384	two-sided	0.41596917215986895	0.053157631710460555
5	CN3_D1	treg	1572	393	-0.0075880030899976025	-0.001229801372132945	-0.006358201717864657	0.00849575212393803	two-sided	0.41596917215986895	0.04973983596437075
6	CN3_E1	fibrovascular	660	165	0.0366050027133735	-0.015644892765450037	0.052249895478823534	0.127936031984008	greater	0.24525775948750694	0.1939675323628508
6	CN3_E1	fibroblast_ecm	660	165	0.011600255576448948	-0.004338300920717186	0.015938556497166134	0.25037481259370314	two-sided	0.24525775948750694	0.3362176054829728
6	CN3_E1	endothelial_angiogenic	660	165	0.005169834095858972	-0.002909994452117093	0.008079828547976065	0.41379310344827586	two-sided	0.24525775948750694	0.5720081135902637
6	CN3_E1	malignant_epithelial	660	165	-0.006128944930566815	0.006420639251062288	-0.012549584181629103	0.5102448775612194	two-sided	0.24525775948750694	0.6583146782772996
6	CN3_E1	cd8_cytotoxic	660	165	0.0016675103589130214	-0.0009864715654593487	0.00265398192437237	0.6306846576711644	two-sided	0.24525775948750694	0.7229799734279202
6	CN3_E1	treg	660	165	-0.000788245256316095	-0.00014137843307255888	-0.0006468668232435361	0.6831584207896052	two-sided	0.24525775948750694	0.837036027440825
7	CN4_D1	fibrovascular	891	223	0.1278379566720075	0.05763300511454692	0.0702049515574606	0.020989505247376312	greater	0.25946303856844366	0.041979010494752625
7	CN4_D1	fibroblast_ecm	891	223	0.016107778602823086	0.006533522019586957	0.00957425658323613	0.45327336331834084	two-sided	0.25946303856844366	0.5612456929430022
7	CN4_D1	endothelial_angiogenic	891	223	0.04288135141626953	0.01934111572917513	0.023540235687094402	0.017991004497751123	two-sided	0.25946303856844366	0.05455336847705179
7	CN4_D1	malignant_epithelial	891	223	-0.030002949460772532	-0.034258322890604154	0.0042553734298316215	0.8300849575212393	two-sided	0.25946303856844366	0.8669776222999611
7	CN4_D1	cd8_cytotoxic	891	223	0.01025436394925049	0.008580716876649451	0.0016736470726010384	0.5827086456771614	two-sided	0.25946303856844366	0.6846826586706647
7	CN4_D1	treg	891	223	0.00426458866283356	0.0003236225881139594	0.003940966074719601	0.0034982508745627187	two-sided	0.25946303856844366	0.027402965184074632
8	CN4_D2	fibrovascular	262	66	-0.03220686007827367	-0.04343275634967851	0.011225896271404842	0.4427786106946527	greater	0.45847019871222616	0.5075754805524068
8	CN4_D2	fibroblast_ecm	262	66	-0.006741141498969316	-0.013545018755771854	0.006803877256802537	0.8220889555222389	two-sided	0.45847019871222616	0.871968510126959
8	CN4_D2	endothelial_angiogenic	262	66	-0.011702835335790862	-0.011450290846767908	-0.00025254448902295445	0.9905047476261869	two-sided	0.45847019871222616	0.9920039980009995
8	CN4_D2	malignant_epithelial	262	66	0.06958618507589165	0.01123709727325739	0.05834908780263426	0.21139430284857572	two-sided	0.45847019871222616	0.331184407796102
8	CN4_D2	cd8_cytotoxic	262	66	-0.0008643195490154014	-0.00016867585623682978	-0.0006956436927785716	0.800599700149925	two-sided	0.45847019871222616	0.8650157679780798
8	CN4_D2	treg	262	66	-0.004742373918252183	-0.0011495689562384089	-0.003592804962013774	0.09695152423788106	two-sided	0.45847019871222616	0.2680424493635535
9	CN5_D1	fibrovascular	1167	292	0.06231715447344684	0.04982755114272933	0.012489603330717504	0.3193403298350825	greater	0.22212595544726565	0.40023988005997
9	CN5_D1	fibroblast_ecm	1167	292	0.029289135930533172	0.035180472060126367	-0.005891336129593194	0.7656171914042978	two-sided	0.22212595544726565	0.8368373952558604
9	CN5_D1	endothelial_angiogenic	1167	292	0.013948610896938995	0.005720386997598942	0.008228223899340054	0.29185407296351823	two-sided	0.22212595544726565	0.44248843320275344
9	CN5_D1	malignant_epithelial	1167	292	0.0024969740585105704	-0.015135128279085919	0.01763210233759649	0.2708645677161419	two-sided	0.22212595544726565	0.40414713278281494
