patient	module	requested_genes	present_genes	coverage	genes_present
1142243F	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
1142243F	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
1142243F	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
1142243F	hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
1142243F	fibroblast_ecm	12	12	1.0	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
1142243F	endothelial_angiogenic	10	10	1.0	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
1142243F	malignant_epithelial	8	8	1.0	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
1142243F	cd8_cytotoxic	8	8	1.0	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
1142243F	treg	5	5	1.0	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
1142243F	tcell_exhaustion	7	7	1.0	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
1142243F	tcell_ifng_response	6	6	1.0	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
1142243F	tcell_progenitor	6	6	1.0	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
1160920F	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
1160920F	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
1160920F	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
1160920F	hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
1160920F	fibroblast_ecm	12	12	1.0	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
1160920F	endothelial_angiogenic	10	10	1.0	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
1160920F	malignant_epithelial	8	8	1.0	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
1160920F	cd8_cytotoxic	8	8	1.0	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
1160920F	treg	5	5	1.0	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
1160920F	tcell_exhaustion	7	7	1.0	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
1160920F	tcell_ifng_response	6	6	1.0	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
1160920F	tcell_progenitor	6	6	1.0	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
CID4290	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
CID4290	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
CID4290	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
CID4290	hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
CID4290	fibroblast_ecm	12	12	1.0	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
CID4290	endothelial_angiogenic	10	10	1.0	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
CID4290	malignant_epithelial	8	8	1.0	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
CID4290	cd8_cytotoxic	8	8	1.0	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
CID4290	treg	5	5	1.0	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
CID4290	tcell_exhaustion	7	7	1.0	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
CID4290	tcell_ifng_response	6	6	1.0	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
CID4290	tcell_progenitor	6	6	1.0	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
CID4465	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
CID4465	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
CID4465	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
CID4465	hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
CID4465	fibroblast_ecm	12	12	1.0	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
CID4465	endothelial_angiogenic	10	10	1.0	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
CID4465	malignant_epithelial	8	8	1.0	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
CID4465	cd8_cytotoxic	8	8	1.0	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
CID4465	treg	5	5	1.0	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
CID4465	tcell_exhaustion	7	7	1.0	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
CID4465	tcell_ifng_response	6	6	1.0	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
CID4465	tcell_progenitor	6	6	1.0	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
CID44971	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
CID44971	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
CID44971	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
CID44971	hypoxia	14	14	1.0	HIF1A;EGLN1;CA9;VEGFA;LDHA;PDK1;SLC2A1;BNIP3;NDRG1;ENO1;ALDOA;PGK1;HK2;PFKP
CID44971	fibroblast_ecm	12	12	1.0	COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;DCN;LUM;C7;CTHRC1;FAP;POSTN;THY1
CID44971	endothelial_angiogenic	10	10	1.0	PECAM1;VWF;EMCN;KDR;ESAM;ENG;PLVAP;ACKR1;RGCC;CA4
CID44971	malignant_epithelial	8	8	1.0	EPCAM;KRT8;KRT18;KRT19;KRT17;KRT5;KRT14;TACSTD2
CID44971	cd8_cytotoxic	8	8	1.0	CD3D;CD3E;CD8A;CD8B;NKG7;GNLY;GZMB;PRF1
CID44971	treg	5	5	1.0	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2
CID44971	tcell_exhaustion	7	7	1.0	PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;ENTPD1
CID44971	tcell_ifng_response	6	6	1.0	IFNG;CXCL9;CXCL10;STAT1;IRF1;GBP1
CID44971	tcell_progenitor	6	6	1.0	TCF7;LEF1;IL7R;CCR7;LTB;SLAMF6
CID4535	P4_primary	13	13	1.0	CD36;CD52;FABP5;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;SPP1;TIMP1
CID4535	P3_secondary	8	8	1.0	ACP5;CCL18;CXCL9;FN1;HMOX1;IFI27;LYZ;NUPR1
CID4535	macrophage_identity	5	5	1.0	C1QA;C1QB;C1QC;CD68;MSR1
