cohort	discovery_program	validation_program	overlap_n	universe_genes	discovery_genes_in_universe	hypergeom_p	hypergeom_fdr	overlapping_genes
GSE161529	P1	V5	24	290	33	2.51356293325296e-14	7.54068879975888e-13	CXCL8;CXCL2;CXCL3;G0S2;CCL3;CSTB;IL1B;S100A8;PLIN2;CCL20;CTSD;TXN;EGR1;IL1RN;FABP5;CCL4;LGALS3;LYZ;EREG;TIMP1;THBD;CCL4L2;PTGS2;VCAN
GSE161529	P2	V4	12	290	24	0.0001084151814907	0.0003613839383024	LYZ;MT2A;AREG;TIMP1;HSPA1A;HLA-DQA2;FABP5;RGCC;TXN;BIRC3;LGALS2;HSPD1
GSE161529	P3	V2	21	290	30	7.471754890597709e-12	1.12076323358966e-10	APOE;APOC1;LYZ;CTSD;IFI27;ACP5;LGALS3;GPNMB;CSTB;NUPR1;CTSL;TXN;HLA-DQA2;CXCL9;CCL18;PLA2G7;HMOX1;HSPA1A;FN1;SLC40A1;GCHFR
GSE161529	P4	V5	20	290	28	1.5912831306686e-11	1.5912831306686003e-10	SPP1;CTSD;FN1;CSTB;FABP5;GPNMB;LYZ;CTSL;LGALS3;PLIN2;TXN;HMOX1;FBP1;CD52;MT2A;RGCC;TIMP1;MARCO;S100A8;CD36
GSE161529	P5	V3	18	290	31	4.04879822669767e-08	2.4292789360186e-07	HSPA1A;CCL4;CCL3;HSPA1B;HSPH1;EGR1;DUSP2;HSPD1;CXCL8;CTSD;BAG3;HSPA6;ZFAND2A;DNAJA4;CCL2;LYZ;KCNQ1OT1;CXCL2
GSE161529	P6	V5	14	290	29	4.0177358484269e-05	0.0002008867924213	CCL2;MT2A;IFIT3;TXN;LYZ;CCL4;CCL3;CTSL;TIMP1;IL1RN;CCL4L2;FN1;CSTB;LGALS3
GSE246613	P1	B6	12	500	14	2.1324962448048536e-11	2.5589954937658243e-10	ADM;CCL20;CXCL1;CXCL3;EREG;G0S2;IL1B;LYZ;S100A8;THBD;TIMP1;VCAN
GSE246613	P2	B3	7	500	11	1.6142200230443827e-05	3.874128055306518e-05	CD36;HSPH1;LYZ;MGP;PDK4;SLC40A1;TIMP1
GSE246613	P3	B1	10	500	12	2.3636991407180555e-09	1.4182194844308332e-08	CCL18;CCL5;CXCL9;FBP1;FN1;HMOX1;IL32;LYZ;MMP9;NUPR1
GSE246613	P4	B4	11	500	11	3.4113799738538705e-12	6.140483952936966e-11	CD36;CD52;FBP1;FN1;HMOX1;LYZ;MARCO;MT2A;NUPR1;S100A8;TIMP1
GSE246613	P5	B2	10	500	11	4.2556965173827043e-10	3.830126865644434e-09	CCL2;CCL4L2;EGR2;GEM;HSPA6;HSPH1;IL1B;LYZ;OLFML3;TNF
GSE246613	P6	B1	17	500	18	1.0177757881043002e-17	3.6639928371754807e-16	APOBEC3A;CCL2;CCL5;CCL8;CXCL10;CXCL11;CXCL9;FN1;IDO1;IFIT1;IFIT2;IFIT3;IL32;LYZ;MT2A;RSAD2;TIMP1
GSE114725	P1	A2	10	500	11	4.255696517382704e-10	1.2767089552148113e-08	CCL3;CCL3L3;CCL4;CXCL8;FABP5;IL1B;IL1RN;S100A8;TIMP1;VCAN
GSE114725	P2	A2	4	500	6	0.0011509046798063	0.0028772616995158	FABP5;HSPA1A;ISG15;TIMP1
GSE114725	P3	A4	8	500	11	7.632449736436115e-07	4.579469841861668e-06	ACP5;CCL18;CPM;CYP27A1;FN1;HMOX1;IFI27;NUPR1
GSE114725	P4	A4	7	500	10	6.355592339752782e-06	2.383347127407293e-05	ACP5;FABP5;FN1;HMOX1;ISG15;NUPR1;SPP1
GSE114725	P5	A2	9	500	10	4.628431381721043e-09	6.942647072581565e-08	CCL2;CCL3;CCL3L3;CCL4;CXCL8;HMOX1;HSPA1A;HSPA6;IL1B
GSE114725	P6	A2	10	500	13	9.480764805168417e-09	9.480764805168417e-08	APOBEC3A;CCL2;CCL3;CCL4;CCL8;CXCL10;FN1;IL1RN;ISG15;TIMP1
