patient	cohort	macrophage_cells	P4_primary	macrophage_identity	hypoxia	median_total_counts
CID3586	GSE176078	95	0.428694872229168	2.41288066394446	0.356832751476659	4405
CID3921	GSE176078	232	1.41356280528783	3.07353317995167	0.572721236696078	11588
CID45171	GSE176078	17	1.04171802537593	2.43884702027238	0.361105225874714	7057
CID3838	GSE176078	319	1.10149159692827	2.74680421413218	0.582749551582586	37807
CID4066	GSE176078	133	0.735309324367245	2.79970822586233	0.411722231989196	6525
CID44041	GSE176078	66	0.399194326292957	2.63126524378127	0.282720013484313	4769.5
CID4465	GSE176078	112	0.862916825542744	1.76112199368174	0.343796686071996	899.5
CID4495	GSE176078	547	1.06688894883072	3.18449177382216	0.473820195445579	11993
CID44971	GSE176078	316	0.88500458042374	2.78280416754293	0.549047739046964	8785.5
CID44991	GSE176078	145	1.01166207557456	3.14554607690368	0.560122320817897	6550
CID4513	GSE176078	1894	0.56197472392059	3.29676711956275	0.458535861046112	7056
CID4515	GSE176078	276	1.40507271019302	1.92205115154817	0.570090558850457	4180.5
CID4523	GSE176078	207	0.787742476941961	0	0.533772582671345	831
CID3946	GSE176078	108	1.1656419308852	1.36577339399315	0.445287108208283	563.5
CID3963	GSE176078	356	1.00984880133675	2.78433201424954	0.570850534184079	7089.5
CID4461	GSE176078	36	0.580103477379413	0.58453570201593	0.35355758717876	856.5
CID4463	GSE176078	67	0.885500535613083	2.66898376481621	0.519690730583257	6651
CID4471	GSE176078	186	0.53419869538321	2.71588144817744	0.3699446061983	4975
CID4530N	GSE176078	47	0.605609357072635	2.36287699219854	0.354873987494088	6407
CID4535	GSE176078	119	0.814720734526309	2.78842472689629	0.411334641199387	11153
CID4040	GSE176078	31	1.0673251815649	2.89956690145508	0.498192398453833	16102
CID3941	GSE176078	28	0.572409111189753	1.6908640980863	0.227730386251274	898
CID3948	GSE176078	76	0.845030956048495	2.81436337785066	0.363729097368092	4143
CID4067	GSE176078	189	0.693904340321045	2.54261796578978	0.3614054543033	3309
CID4290A	GSE176078	249	0.730980417238709	2.60238535031776	0.248989106360669	2287
CID4398	GSE176078	78	0.875963501079321	2.10739144805546	0.425446944389161	5174.5
TN_B1_0554	GSE161529	1492	1.29273104510301	1.49589202581838	0.633301160755663	5280.5
TN_B1_0177	GSE161529	2887	1.234792587409	1.60005775784546	0.532929217831116	3790
TN_0135	GSE161529	569	1.03560547067212	1.03036037909935	0.579823795016539	3108
TN_B1_4031	GSE161529	39	1.08470795744291	1.37773195643479	0.308604448801007	1527
TN_B1_0131	GSE161529	40	0.524348960917117	1.98118139841018	0.221240151888626	2262
TN_0126	GSE161529	407	1.07016815514879	1.47623137021442	0.424991613341056	2955
TN_0106	GSE161529	240	1.10091037730228	2.09496250682143	0.544518173137509	6577.5
TN_0114_T2	GSE161529	219	1.12283891420596	2.49036778459593	0.501600595661376	8529
Patient01	GSE246613	1909	1.16047803581395	2.49728912340606	0.618876505477727	4243
Patient02	GSE246613	529	1.21268614315616	3.22891238582083	0.659792217874118	11555
Patient03T1	GSE246613	136	1.17637012754555	2.9426895241214	0.79410392032594	8618.5
Patient03T2	GSE246613	17	1.57055553615031	2.35099468194678	0.830206924656078	13608
Patient04	GSE246613	62	0.499050902641161	2.88191398735187	0.35816012287031	6163
Patient05	GSE246613	494	0.839176308807467	3.30710224497562	0.416740202653462	8915
Patient06	GSE246613	2432	1.18512536548304	2.94352364333794	0.484910157714999	9977.5
Patient07	GSE246613	151	0.929318922532886	2.66257379799501	0.459525229909571	10489
Patient09	GSE246613	1404	1.00047240578621	3.0127490703729	0.564236272480705	5100
Patient10	GSE246613	2400	0.922060923156364	2.60640951278458	0.675608274300968	6863.5
Patient11	GSE246613	31	0.635991722487443	2.82802177427334	0.316249917963981	3464
Patient12	GSE246613	1017	1.01618018878112	2.57095460854538	0.52611885525978	7776
Patient15	GSE246613	23	0.380454248912132	2.68489296049483	0.425188101802718	2055
Patient16	GSE246613	169	0.753653111042092	3.13646289647247	0.43563427545708	8021
Patient17	GSE246613	863	0.821484328261397	2.7836770292939	0.5074630467467	7655
Patient18	GSE246613	999	0.997176744212399	2.75029388675495	0.530828413350588	6326
Patient19	GSE246613	293	0.613752220794495	2.44519539815948	0.34069032440521	2707
Patient20	GSE246613	168	1.3629280173364	2.2131202704003	0.843964390811086	6090
Patient23	GSE246613	2833	1.24478257326076	2.18361080748815	0.594703636188239	9561
Patient26	GSE246613	473	1.05525563625034	2.59945212223761	0.640695362205244	8465
Patient30	GSE246613	37	0.788058560573934	3.08961713548366	0.476007933406283	2689
Patient39	GSE246613	47	0.61562854714466	1.44385563917934	0.256139472987029	1085
Patient42	GSE246613	541	0.509888496742388	3.20900606666639	0.332597234311858	2699
Patient43	GSE246613	95	0.872944355881316	3.03763036633667	0.419540285049616	6050
Patient45	GSE246613	65	0.704811928764653	2.94986289113264	0.405482765791819	5474
Patient46	GSE246613	998	1.32519694147752	2.24162729279945	0.869170205043666	5641.5
Patient47	GSE246613	316	1.12860730535536	2.92402250248605	0.600418939525782	6509
Patient48	GSE246613	55	0.246666840110242	1.92514410833007	0.208462890865189	715
Patient52	GSE246613	134	0.399098298558232	2.48710427219156	0.385467956783529	3412.5
Patient53	GSE246613	2335	1.18527630618587	2.724845192344	0.887869317205855	6268
Patient56	GSE246613	1549	1.76343751066575	2.22279400179486	0.859502485813422	9062
Patient63	GSE246613	7	0	3.10796931390732	0	207
Patient64	GSE246613	4	0.115103744994571	2.5956658315913	0.140073977181488	186.5
Patient66	GSE246613	100	0.546727672634589	2.80839011754853	0.326243241280943	3157.5
BC1	GSE114725	134	0.13299592	1.8362753	0	959
BC2	GSE114725	54	0.22122824	2.1971319	0.17760286	1738.5
BC3	GSE114725	155	0.5468393	1.9199579	0.25183502	1064
BC4	GSE114725	242	0.3256544	1.866742	0.21148017	1524
BC5	GSE114725	144	1.1453686	1.0072193	0.5804534	3460
BC6	GSE114725	1376	1.6409172	2.197464	0.5315285	4867.5
BC7	GSE114725	210	0.6988802	1.3516488	0.46397325	3309
BC8	GSE114725	394	1.1124191	1.655745	0.49577752	3816.5
