program	gene	datasets_supporting_top50_membership	locking_rule
P3	ACP5	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	CCL18	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	CXCL9	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	FN1	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	HMOX1	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	IFI27	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	LYZ	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P3	NUPR1	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	CD36	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	CD52	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	FABP5	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	FBP1	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	FN1	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	HMOX1	4	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	LYZ	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	MARCO	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	MT2A	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	NUPR1	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	S100A8	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	SPP1	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
P4	TIMP1	3	discovery_top50_and_present_in_at_least_2_of_3_independent_top50_factors
