cohort	unit	omitted_gene	genes_retained	excess_over_null
Wu discovery	1142243F	none	13	0.16399858141338153
Wu discovery	1142243F	CD36	12	0.16126059989855432
Wu discovery	1142243F	CD52	12	0.14871062092567014
Wu discovery	1142243F	FABP5	12	0.17829851473727729
Wu discovery	1142243F	FBP1	12	0.16435898183882272
Wu discovery	1142243F	FN1	12	0.12828313472786762
Wu discovery	1142243F	HMOX1	12	0.17002104649582161
Wu discovery	1142243F	LYZ	12	0.1512079521491145
Wu discovery	1142243F	MARCO	12	0.1655374744661403
Wu discovery	1142243F	MT2A	12	0.1813107385444895
Wu discovery	1142243F	NUPR1	12	0.15971685394813598
Wu discovery	1142243F	S100A8	12	0.16160112855265943
Wu discovery	1142243F	SPP1	12	0.1748482538478697
Wu discovery	1142243F	TIMP1	12	0.15054484698274265
Wu discovery	1160920F	none	13	0.044944898585974884
Wu discovery	1160920F	CD36	12	0.04261565883873179
Wu discovery	1160920F	CD52	12	0.016007930851581628
Wu discovery	1160920F	FABP5	12	0.08886408778116421
Wu discovery	1160920F	FBP1	12	0.04593528500112257
Wu discovery	1160920F	FN1	12	0.023100660540111048
Wu discovery	1160920F	HMOX1	12	0.048983681417102076
Wu discovery	1160920F	LYZ	12	-0.009753422414776197
Wu discovery	1160920F	MARCO	12	0.06738100150262494
Wu discovery	1160920F	MT2A	12	0.06402441149354904
Wu discovery	1160920F	NUPR1	12	0.07907944700424738
Wu discovery	1160920F	S100A8	12	0.07334661276158798
Wu discovery	1160920F	SPP1	12	0.09676010066560073
Wu discovery	1160920F	TIMP1	12	0.029969174835062673
Wu discovery	CID4290	none	13	0.14847689599501263
Wu discovery	CID4290	CD36	12	0.15638580351742598
Wu discovery	CID4290	CD52	12	0.14640557525693346
Wu discovery	CID4290	FABP5	12	0.13244696901226644
Wu discovery	CID4290	FBP1	12	0.15838304470914782
Wu discovery	CID4290	FN1	12	0.09857465561565214
Wu discovery	CID4290	HMOX1	12	0.14740767111276207
Wu discovery	CID4290	LYZ	12	0.1357658815531249
Wu discovery	CID4290	MARCO	12	0.14871871837263984
Wu discovery	CID4290	MT2A	12	0.1247601463559522
Wu discovery	CID4290	NUPR1	12	0.13741702266975264
Wu discovery	CID4290	S100A8	12	0.16874018775272454
Wu discovery	CID4290	SPP1	12	0.15128884773851112
Wu discovery	CID4290	TIMP1	12	0.1593990959180265
Wu discovery	CID4465	none	13	-0.004925201581781016
Wu discovery	CID4465	CD36	12	-0.12628042281187637
Wu discovery	CID4465	CD52	12	0.002543681316983305
Wu discovery	CID4465	FABP5	12	-0.04355217964812426
Wu discovery	CID4465	FBP1	12	-0.01704046707982074
Wu discovery	CID4465	FN1	12	-0.04533183606595515
Wu discovery	CID4465	HMOX1	12	-0.015751818307121492
Wu discovery	CID4465	LYZ	12	0.04053203325841696
Wu discovery	CID4465	MARCO	12	0.021822478377419775
Wu discovery	CID4465	MT2A	12	-0.07495413850282426
Wu discovery	CID4465	NUPR1	12	0.01794648012576046
Wu discovery	CID4465	S100A8	12	0.075300453408106
Wu discovery	CID4465	SPP1	12	-0.02006153120262412
Wu discovery	CID4465	TIMP1	12	-0.09413297876093725
Wu discovery	CID44971	none	13	0.02104828387527008
Wu discovery	CID44971	CD36	12	-0.019982458867410624
Wu discovery	CID44971	CD52	12	0.017481540170484144
Wu discovery	CID44971	FABP5	12	0.05563388053040741
Wu discovery	CID44971	FBP1	12	0.02109620829672154
Wu discovery	CID44971	FN1	12	-0.0017433721674889324
Wu discovery	CID44971	HMOX1	12	0.0055615376177695075
Wu discovery	CID44971	LYZ	12	-0.03589931411690339
Wu discovery	CID44971	MARCO	12	0.06412889949930056
Wu discovery	CID44971	MT2A	12	0.05142020079108106
Wu discovery	CID44971	NUPR1	12	0.05798574931415712
Wu discovery	CID44971	S100A8	12	0.004978060812140528
Wu discovery	CID44971	SPP1	12	0.029071214873497703
Wu discovery	CID44971	TIMP1	12	-0.029322529072350473
Wu discovery	CID4535	none	13	0.3699618160066982
Wu discovery	CID4535	CD36	12	0.35455162866199474
Wu discovery	CID4535	CD52	12	0.3609380799982135
Wu discovery	CID4535	FABP5	12	0.38762895265387187
Wu discovery	CID4535	FBP1	12	0.415887209491907
Wu discovery	CID4535	FN1	12	0.29387351874504164
Wu discovery	CID4535	HMOX1	12	0.3718155197325381
Wu discovery	CID4535	LYZ	12	0.3879959962114201
Wu discovery	CID4535	MARCO	12	0.3778948274777153
Wu discovery	CID4535	MT2A	12	0.34193830240298995
Wu discovery	CID4535	NUPR1	12	0.36098093842696455
Wu discovery	CID4535	S100A8	12	0.3634434370166465
Wu discovery	CID4535	SPP1	12	0.38050942636669505
Wu discovery	CID4535	TIMP1	12	0.31321851251096144
Figshare validation	P1	none	13	0.09880390405334664
Figshare validation	P1	CD36	12	0.09406582356095061
Figshare validation	P1	CD52	12	0.09451544134540588
Figshare validation	P1	FABP5	12	0.07732224044301024
Figshare validation	P1	FBP1	12	0.10857212749606893
Figshare validation	P1	FN1	12	0.02273710847429487
Figshare validation	P1	HMOX1	12	0.08162502243465719
Figshare validation	P1	LYZ	12	0.09953474631461744
Figshare validation	P1	MARCO	12	0.09873126469158902
Figshare validation	P1	MT2A	12	0.10455270701343634
Figshare validation	P1	NUPR1	12	0.09374536987783699
Figshare validation	P1	S100A8	12	0.10580195720422138
Figshare validation	P1	SPP1	12	0.09023028920804747
Figshare validation	P1	TIMP1	12	0.06270670618025062
Figshare validation	P2	none	13	0.19819761633424265
Figshare validation	P2	CD36	12	0.22926671863527937
Figshare validation	P2	CD52	12	0.20216597112628265
Figshare validation	P2	FABP5	12	0.20002926470440363
Figshare validation	P2	FBP1	12	0.20167054395817371
Figshare validation	P2	FN1	12	0.1842940883155908
Figshare validation	P2	HMOX1	12	0.19676554445214106
Figshare validation	P2	LYZ	12	0.16686456688521775
Figshare validation	P2	MARCO	12	0.1962551461283718
Figshare validation	P2	MT2A	12	0.19540180522581213
Figshare validation	P2	NUPR1	12	0.19275176808215722
Figshare validation	P2	S100A8	12	0.20067539931821465
Figshare validation	P2	SPP1	12	0.2499859075369228
Figshare validation	P2	TIMP1	12	0.1654542570696067
Figshare validation	P3	none	13	0.11774169753537904
Figshare validation	P3	CD36	12	0.12155326620943643
Figshare validation	P3	CD52	12	0.042214919624715866
Figshare validation	P3	FABP5	12	0.09150604150886381
Figshare validation	P3	FBP1	12	0.1267349503827843
Figshare validation	P3	FN1	12	0.04951005187520743
Figshare validation	P3	HMOX1	12	0.12317852516002177
Figshare validation	P3	LYZ	12	0.12094802359951609
Figshare validation	P3	MARCO	12	0.13660013261162324
Figshare validation	P3	MT2A	12	0.1060552298361448
Figshare validation	P3	NUPR1	12	0.12198592872536089
Figshare validation	P3	S100A8	12	0.16553882068195114
Figshare validation	P3	SPP1	12	0.2374235235370552
Figshare validation	P3	TIMP1	12	0.02721251079847884
Figshare validation	P4	none	13	0.14884968120518965
Figshare validation	P4	CD36	12	0.08929641946468243
Figshare validation	P4	CD52	12	0.14313401464518302
Figshare validation	P4	FABP5	12	0.1595049133827325
Figshare validation	P4	FBP1	12	0.13685663868289408
Figshare validation	P4	FN1	12	-0.06958922425568217
Figshare validation	P4	HMOX1	12	0.12150408738890751
Figshare validation	P4	LYZ	12	0.07411682328911595
Figshare validation	P4	MARCO	12	0.1334746008926635
Figshare validation	P4	MT2A	12	0.21134315714266735
Figshare validation	P4	NUPR1	12	0.16852176531172072
Figshare validation	P4	S100A8	12	0.17217286550744643
Figshare validation	P4	SPP1	12	0.22485480674767003
Figshare validation	P4	TIMP1	12	0.15727565977197303
Figshare validation	P5	none	13	0.2651978807971495
Figshare validation	P5	CD36	12	0.257923587700851
Figshare validation	P5	CD52	12	0.2662374762047791
Figshare validation	P5	FABP5	12	0.2900840252780377
Figshare validation	P5	FBP1	12	0.2571435422874866
Figshare validation	P5	FN1	12	0.2521009255379904
Figshare validation	P5	HMOX1	12	0.20368237270646822
Figshare validation	P5	LYZ	12	0.2112931344959524
Figshare validation	P5	MARCO	12	0.26537494722140964
Figshare validation	P5	MT2A	12	0.29077241982787044
Figshare validation	P5	NUPR1	12	0.32504571577021424
Figshare validation	P5	S100A8	12	0.2648345556400469
Figshare validation	P5	SPP1	12	0.29693103877673543
Figshare validation	P5	TIMP1	12	0.172089666480658
Figshare validation	P6	none	13	0.11149727213510674
Figshare validation	P6	CD36	12	0.12264918363491863
Figshare validation	P6	CD52	12	0.10374529977526643
Figshare validation	P6	FABP5	12	0.12017471855954187
Figshare validation	P6	FBP1	12	0.10238865049082967
Figshare validation	P6	FN1	12	0.045583374756925296
Figshare validation	P6	HMOX1	12	0.09692292467076873
Figshare validation	P6	LYZ	12	0.07461952010863666
Figshare validation	P6	MARCO	12	0.12470204259577061
Figshare validation	P6	MT2A	12	0.08033621295656629
Figshare validation	P6	NUPR1	12	0.07795851533037082
Figshare validation	P6	S100A8	12	0.09522059877832886
Figshare validation	P6	SPP1	12	0.14218423418232276
Figshare validation	P6	TIMP1	12	0.03892371889596008
Figshare validation	P7	none	13	-0.08983534495913405
Figshare validation	P7	CD36	12	-0.08383749887608863
Figshare validation	P7	CD52	12	-0.08328486146717157
Figshare validation	P7	FABP5	12	-0.10957591334494352
Figshare validation	P7	FBP1	12	-0.0890588720050007
Figshare validation	P7	FN1	12	-0.10856067199037259
Figshare validation	P7	HMOX1	12	-0.08472994415325998
Figshare validation	P7	LYZ	12	-0.0718591193488526
Figshare validation	P7	MARCO	12	-0.08983534495913405
Figshare validation	P7	MT2A	12	-0.08401665777394657
Figshare validation	P7	NUPR1	12	-0.09937570975324808
Figshare validation	P7	S100A8	12	-0.06065269676225512
Figshare validation	P7	SPP1	12	-0.09497018679754023
Figshare validation	P7	TIMP1	12	-0.10298421055858073
Figshare validation	P8	none	13	0.1255355330856952
Figshare validation	P8	CD36	12	0.12196353178408038
Figshare validation	P8	CD52	12	0.12539770979059192
Figshare validation	P8	FABP5	12	0.12804900844403677
Figshare validation	P8	FBP1	12	0.13948736303935103
Figshare validation	P8	FN1	12	0.08277470070335229
Figshare validation	P8	HMOX1	12	0.12978860813519136
Figshare validation	P8	LYZ	12	0.1260748293193761
Figshare validation	P8	MARCO	12	0.12691582681402827
Figshare validation	P8	MT2A	12	0.11623152633256569
Figshare validation	P8	NUPR1	12	0.14332608891978232
Figshare validation	P8	S100A8	12	0.1191705347589162
Figshare validation	P8	SPP1	12	0.16443508591252995
Figshare validation	P8	TIMP1	12	0.11150064744062932
TNBC94 extension	1	none	13	0.09900791157987851
TNBC94 extension	1	CD36	12	0.09246031842443087
TNBC94 extension	1	CD52	12	0.07562308208931516
TNBC94 extension	1	FABP5	12	0.10080769717391776
TNBC94 extension	1	FBP1	12	0.10256365181194593
TNBC94 extension	1	FN1	12	0.04847800267070941
TNBC94 extension	1	HMOX1	12	0.10315147138988907
TNBC94 extension	1	LYZ	12	0.11021257218737078
TNBC94 extension	1	MARCO	12	0.09191411672352302
TNBC94 extension	1	MT2A	12	0.12151311001073778
TNBC94 extension	1	NUPR1	12	0.13037310678161743
TNBC94 extension	1	S100A8	12	0.09071985289235292
TNBC94 extension	1	SPP1	12	0.07990887230308323
TNBC94 extension	1	TIMP1	12	0.11663075368924204
TNBC94 extension	2	none	13	0.05323038779091446
TNBC94 extension	2	CD36	12	0.030575759198620742
TNBC94 extension	2	CD52	12	-0.00944315766806095
TNBC94 extension	2	FABP5	12	0.06318982708090154
TNBC94 extension	2	FBP1	12	0.057048418780076375
TNBC94 extension	2	FN1	12	0.04014458654230739
TNBC94 extension	2	HMOX1	12	0.02496304201345241
TNBC94 extension	2	LYZ	12	0.028425960695911964
TNBC94 extension	2	MARCO	12	0.060775903081605964
TNBC94 extension	2	MT2A	12	0.0895682408167396
TNBC94 extension	2	NUPR1	12	0.05867410358239952
TNBC94 extension	2	S100A8	12	0.07016428978588918
TNBC94 extension	2	SPP1	12	0.060310528159661154
TNBC94 extension	2	TIMP1	12	0.036871038271149875
TNBC94 extension	3	none	13	0.2131447051932133
TNBC94 extension	3	CD36	12	0.21081508937833907
TNBC94 extension	3	CD52	12	0.1910784856601276
TNBC94 extension	3	FABP5	12	0.23460734024088664
TNBC94 extension	3	FBP1	12	0.24616678810648882
TNBC94 extension	3	FN1	12	0.22104294233038524
TNBC94 extension	3	HMOX1	12	0.2825578569321372
TNBC94 extension	3	LYZ	12	0.2275043867717942
TNBC94 extension	3	MARCO	12	0.19393894323460897
TNBC94 extension	3	MT2A	12	0.20204112184088072
TNBC94 extension	3	NUPR1	12	0.21471528028835749
TNBC94 extension	3	S100A8	12	0.22532730161104075
TNBC94 extension	3	SPP1	12	0.22645643203678514
TNBC94 extension	3	TIMP1	12	0.16976302043426925
TNBC94 extension	4	none	13	0.10660520888180373
TNBC94 extension	4	CD36	12	0.12027398195645073
TNBC94 extension	4	CD52	12	0.10898598477500844
TNBC94 extension	4	FABP5	12	0.0974085269614393
TNBC94 extension	4	FBP1	12	0.1243381786039515
TNBC94 extension	4	FN1	12	0.11631481441247987
TNBC94 extension	4	HMOX1	12	0.11955296414567175
TNBC94 extension	4	LYZ	12	0.06738553335624207
TNBC94 extension	4	MARCO	12	0.1428651294594042
TNBC94 extension	4	MT2A	12	0.13319516977013163
TNBC94 extension	4	NUPR1	12	0.09097851353662867
TNBC94 extension	4	S100A8	12	0.12358056233177292
TNBC94 extension	4	SPP1	12	0.111972041365195
TNBC94 extension	4	TIMP1	12	0.07060547464438785
TNBC94 extension	5	none	13	-0.10817883151217825
TNBC94 extension	5	CD36	12	-0.10975237444903285
TNBC94 extension	5	CD52	12	-0.11062127171959853
TNBC94 extension	5	FABP5	12	-0.11816012715580529
TNBC94 extension	5	FBP1	12	-0.12630549463876886
TNBC94 extension	5	FN1	12	-0.11508069458405251
TNBC94 extension	5	HMOX1	12	-0.1285179144338417
TNBC94 extension	5	LYZ	12	-0.12859933366163115
TNBC94 extension	5	MARCO	12	-0.07815399937946055
TNBC94 extension	5	MT2A	12	-0.134075424277311
TNBC94 extension	5	NUPR1	12	-0.06199517704079928
TNBC94 extension	5	S100A8	12	-0.09592622016368395
TNBC94 extension	5	SPP1	12	-0.10967189287012
TNBC94 extension	5	TIMP1	12	-0.13352319582735253
TNBC94 extension	6	none	13	0.05516996406276124
TNBC94 extension	6	CD36	12	0.005972317046698809
TNBC94 extension	6	CD52	12	0.04404229293599573
TNBC94 extension	6	FABP5	12	0.08853903078176745
TNBC94 extension	6	FBP1	12	0.05402024656221739
TNBC94 extension	6	FN1	12	0.13425757605991762
TNBC94 extension	6	HMOX1	12	0.08135845296211273
TNBC94 extension	6	LYZ	12	0.062302959798156636
TNBC94 extension	6	MARCO	12	0.054991269339832526
TNBC94 extension	6	MT2A	12	0.13138950177053038
TNBC94 extension	6	NUPR1	12	0.14347119959083393
TNBC94 extension	6	S100A8	12	0.048648164380795306
TNBC94 extension	6	SPP1	12	0.061515578677008964
TNBC94 extension	6	TIMP1	12	0.024070090257893445
TNBC94 extension	7	none	13	0.07242489592866888
TNBC94 extension	7	CD36	12	0.0865829999445777
TNBC94 extension	7	CD52	12	0.07755960058543976
TNBC94 extension	7	FABP5	12	0.07601839239668869
TNBC94 extension	7	FBP1	12	0.04976760114933031
TNBC94 extension	7	FN1	12	0.08513965002304202
TNBC94 extension	7	HMOX1	12	0.05893348055693201
TNBC94 extension	7	LYZ	12	0.07162194350303458
TNBC94 extension	7	MARCO	12	0.07853366664193026
TNBC94 extension	7	MT2A	12	0.12591423935533394
TNBC94 extension	7	NUPR1	12	0.049130783636641466
TNBC94 extension	7	S100A8	12	0.10590027377695813
TNBC94 extension	7	SPP1	12	0.06729891666770574
TNBC94 extension	7	TIMP1	12	0.04532276967924158
TNBC94 extension	8	none	13	0.014299592824368566
TNBC94 extension	8	CD36	12	-0.005056872709505472
TNBC94 extension	8	CD52	12	-0.04144886965173794
TNBC94 extension	8	FABP5	12	0.03150498063405229
TNBC94 extension	8	FBP1	12	-0.003015863797451888
TNBC94 extension	8	FN1	12	0.0016436253613242423
TNBC94 extension	8	HMOX1	12	0.006680746294283288
TNBC94 extension	8	LYZ	12	0.00514981418813165
TNBC94 extension	8	MARCO	12	0.014299592824368566
TNBC94 extension	8	MT2A	12	-0.03658090176834046
TNBC94 extension	8	NUPR1	12	0.02558352481431566
TNBC94 extension	8	S100A8	12	0.05098908763522325
TNBC94 extension	8	SPP1	12	-0.007794488785553555
TNBC94 extension	8	TIMP1	12	-0.10858949326978666
TNBC94 extension	9	none	13	0.011111264327023931
TNBC94 extension	9	CD36	12	0.03930901384717099
TNBC94 extension	9	CD52	12	0.010801049560552299
TNBC94 extension	9	FABP5	12	0.01662556908746849
TNBC94 extension	9	FBP1	12	0.013465943341533053
TNBC94 extension	9	FN1	12	-0.04154654800990895
TNBC94 extension	9	HMOX1	12	0.01341553661184474
TNBC94 extension	9	LYZ	12	0.016883430374471306
TNBC94 extension	9	MARCO	12	0.011111264327023931
TNBC94 extension	9	MT2A	12	0.048178848352089236
TNBC94 extension	9	NUPR1	12	0.034137797561905575
TNBC94 extension	9	S100A8	12	0.06295209536506138
TNBC94 extension	9	SPP1	12	0.09380375667292465
