cohort	omitted_gene	genes_retained	units	positive_units	positive_fraction	median_excess	mean_excess
Figshare validation	CD36	12	8	7	0.875	0.12175839899675842	0.11911012901426378
Figshare validation	CD52	12	8	7	0.875	0.11457150478292918	0.11176574638063166
Figshare validation	FABP5	12	8	7	0.875	0.12411186350178932	0.11963678737196037
Figshare validation	FBP1	12	8	7	0.875	0.13179579453283918	0.12297436804157345
Figshare validation	FN1	12	8	6	0.75	0.04754671331606636	0.05735629417716329
Figshare validation	HMOX1	12	8	7	0.875	0.12234130627446464	0.10859214259936198
Figshare validation	LYZ	12	8	7	0.875	0.11024138495706676	0.10019906558294747
Figshare validation	MARCO	12	8	7	0.875	0.13019521385334587	0.12402732699954025
Figshare validation	MT2A	12	8	7	0.875	0.11114337808435523	0.12758455007013955
Figshare validation	NUPR1	12	8	7	0.875	0.1326560088225716	0.1279949302830244
Figshare validation	S100A8	12	8	7	0.875	0.14235467772043367	0.1328452543908588
Figshare validation	SPP1	12	8	7	0.875	0.1946449463301	0.16388433738796793
Figshare validation	TIMP1	12	8	7	0.875	0.08710367681043997	0.07902236950987199
Figshare validation	none	13	8	7	0.875	0.12163861531053713	0.12199853002337194
TNBC94 extension	CD36	12	94	79	0.8404255319148937	0.0717975956251941	0.07500830211985468
TNBC94 extension	CD52	12	94	72	0.7659574468085106	0.05454775837371794	0.06656160154520536
TNBC94 extension	FABP5	12	94	82	0.8723404255319149	0.07606439485654409	0.08111301111984691
TNBC94 extension	FBP1	12	94	82	0.8723404255319149	0.07353203789802867	0.0785456371121204
TNBC94 extension	FN1	12	94	69	0.7340425531914894	0.0413743963296876	0.0470804411250902
TNBC94 extension	HMOX1	12	94	81	0.8617021276595744	0.06781336260336024	0.07555739742164155
TNBC94 extension	LYZ	12	94	81	0.8617021276595744	0.06774239032655788	0.07538465530847623
TNBC94 extension	MARCO	12	94	82	0.8723404255319149	0.07622156405841796	0.08199133769613348
TNBC94 extension	MT2A	12	94	83	0.8829787234042553	0.08699052191181961	0.09101276341729704
TNBC94 extension	NUPR1	12	94	84	0.8936170212765957	0.09441274002010225	0.09263900923271401
TNBC94 extension	S100A8	12	94	84	0.8936170212765957	0.08091996527632256	0.08913652339801015
TNBC94 extension	SPP1	12	94	81	0.8617021276595744	0.08606573828730293	0.08541078022833393
TNBC94 extension	TIMP1	12	94	69	0.7340425531914894	0.04296466597378954	0.04572872108044939
TNBC94 extension	none	13	94	82	0.8723404255319149	0.07489291044185994	0.07759980542353898
Wu discovery	CD36	12	6	4	0.6666666666666666	0.0995007311780789	0.09475846820623664
Wu discovery	CD52	12	6	6	1.0	0.0819435577137088	0.11534790475331103
Wu discovery	FABP5	12	6	5	0.8333333333333334	0.11065552839671533	0.13322003751114384
Wu discovery	FBP1	12	6	5	0.8333333333333334	0.1021591648551352	0.1314367103763168
Wu discovery	FN1	12	6	4	0.6666666666666666	0.06083765807788159	0.0827927935658714
Wu discovery	HMOX1	12	6	5	0.8333333333333334	0.09819567626493207	0.12133960634481199
Wu discovery	LYZ	12	6	4	0.6666666666666666	0.08814895740577093	0.11164152110673282
Wu discovery	MARCO	12	6	6	1.0	0.10804985993763239	0.14091389994930678
Wu discovery	MT2A	12	6	5	0.8333333333333334	0.09439227892475062	0.11474994351420625
Wu discovery	NUPR1	12	6	6	1.0	0.10824823483700001	0.13552108191483636
Wu discovery	S100A8	12	6	6	1.0	0.11845079098038272	0.14123498005064417
Wu discovery	SPP1	12	6	5	0.8333333333333334	0.12402447420205592	0.13540271871492504
Wu discovery	TIMP1	12	6	4	0.6666666666666666	0.09025701090890266	0.08827935373558427
Wu discovery	none	13	6	5	0.8333333333333334	0.09671089729049376	0.12391754571575937
