cohort	unit	setting	neighbors	high_fraction	covariates	permutation_stratified	excess_over_null
Wu discovery	1142243F	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.17017103216119062
Wu discovery	1142243F	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.16399858141338153
Wu discovery	1142243F	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1646861904974016
Wu discovery	1142243F	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14661089876731245
Wu discovery	1142243F	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.16378002883221587
Wu discovery	1142243F	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.16399858141338153
Wu discovery	1142243F	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.1635000930154423
Wu discovery	1142243F	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.15203037979228162
Wu discovery	1142243F	residual_depth_only	6	0.25	log1p_umi	True	0.3441204488129785
Wu discovery	1142243F	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.04613752179920395
Wu discovery	1142243F	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.17086645872986425
Wu discovery	1160920F	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.0469694164384003
Wu discovery	1160920F	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.044944898585974884
Wu discovery	1160920F	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.042936456352965634
Wu discovery	1160920F	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.04300018589588186
Wu discovery	1160920F	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.06859299151438839
Wu discovery	1160920F	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.044944898585974884
Wu discovery	1160920F	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.04059433513086552
Wu discovery	1160920F	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.030572274698017137
Wu discovery	1160920F	residual_depth_only	6	0.25	log1p_umi	True	0.11021699309200775
Wu discovery	1160920F	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.007691983005282309
Wu discovery	1160920F	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.015522355565113657
Wu discovery	CID4290	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.15688979774862302
Wu discovery	CID4290	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14847689599501263
Wu discovery	CID4290	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.14148626820640223
Wu discovery	CID4290	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.123216520721007
