cohort	setting	neighbors	high_fraction	covariates	permutation_stratified	units	positive_units	positive_fraction	median_excess	mean_excess
Figshare validation	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.10804573464708564	0.11914421671770899
Figshare validation	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.12163861531053713	0.12199853002337194
Figshare validation	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.11922197338211071	0.11967219069637695
Figshare validation	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.10800908962732267	0.1102432642478134
Figshare validation	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.13618806169299486	0.12684030159909676
Figshare validation	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.12163861531053713	0.12199853002337194
Figshare validation	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	8	7	0.875	0.11336405403182387	0.11593547672226011
Figshare validation	residual_depth_only	6	0.25	log1p_umi	True	8	7	0.875	0.26364038237867715	0.2397626510788751
Figshare validation	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	8	7	0.875	0.1251805444488121	0.12594451975387005
Figshare validation	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	8	4	0.5	-0.013124419869879802	-0.00012074216204690548
Figshare validation	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	8	7	0.875	0.15418609793957916	0.16936264638240717
TNBC94 extension	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	94	78	0.8297872340425532	0.07571665088817428	0.07901344924078232
TNBC94 extension	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	94	82	0.8723404255319149	0.07489291044185994	0.07759980542353898
TNBC94 extension	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	94	82	0.8723404255319149	0.07592917188735966	0.08133271922385121
TNBC94 extension	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	94	78	0.8297872340425532	0.06557062735016367	0.06778110475749938
TNBC94 extension	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	94	81	0.8617021276595744	0.08419193227640587	0.08221909717970453
TNBC94 extension	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	94	82	0.8723404255319149	0.07489291044185994	0.07759980542353898
TNBC94 extension	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	94	81	0.8617021276595744	0.07317068662646677	0.0746201253032213
TNBC94 extension	residual_depth_only	6	0.25	log1p_umi	True	94	87	0.925531914893617	0.14495727394444172	0.15578276764999796
TNBC94 extension	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	94	74	0.7872340425531915	0.06837927216970496	0.06716524043874487
TNBC94 extension	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	94	57	0.6063829787234043	0.015144170982853051	0.02288308336197161
TNBC94 extension	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	94	77	0.8191489361702128	0.09342210704843755	0.10170942886873727
Wu discovery	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.1102726204533832	0.12624715953971574
Wu discovery	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.09671089729049376	0.12391754571575937
Wu discovery	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.0929307603777484	0.11173002342543568
Wu discovery	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.08310835330844443	0.10736150870183776
Wu discovery	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	6	6	1.0	0.10192960709351166	0.12789809829523374
Wu discovery	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.09671089729049376	0.12391754571575937
Wu discovery	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	6	5	0.8333333333333334	0.09221136227968393	0.11797490289037088
Wu discovery	residual_depth_only	6	0.25	log1p_umi	True	6	6	1.0	0.18271741326906427	0.24210683437865074
Wu discovery	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	6	4	0.6666666666666666	0.09007171782542556	0.10216691042139525
Wu discovery	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	6	4	0.6666666666666666	0.022515390626959494	0.02362670244765871
Wu discovery	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	6	5	0.8333333333333334	0.1519843277600344	0.17924055367394054
