cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
Wu discovery	1142243F	cd8_cytotoxic	4657	1165	0.018567608069903402	0.00030945962680573383	0.018258148443097668	0.0004997501249375312	0.0004997501249375312
Wu discovery	1142243F	tcell_exhaustion	4657	1165	0.007886429094162851	0.00020599520402821841	0.007680433890134633	0.0004997501249375312	0.0004997501249375312
Wu discovery	1142243F	tcell_ifng_response	4657	1165	0.045046198742399624	0.000776241391936161	0.04426995735046346	0.0004997501249375312	0.0004997501249375312
Wu discovery	1142243F	tcell_progenitor	4657	1165	0.012179059168458795	0.0003530350187358512	0.011826024149722943	0.0004997501249375312	0.0004997501249375312
Wu discovery	1160920F	cd8_cytotoxic	4846	1212	0.030954082770850766	-0.004196680870002328	0.035150763640853094	0.0004997501249375312	0.0004997501249375312
Wu discovery	1160920F	tcell_exhaustion	4846	1212	0.012052620587148871	-0.001670403046648207	0.013723023633797078	0.0004997501249375312	0.0004997501249375312
Wu discovery	1160920F	tcell_ifng_response	4846	1212	0.08427367759139326	0.00031815666008494503	0.08395552093130831	0.0004997501249375312	0.0004997501249375312
Wu discovery	1160920F	tcell_progenitor	4846	1212	0.014470142827426119	-0.00907821645716865	0.02354835928459477	0.0004997501249375312	0.0004997501249375312
Wu discovery	CID4290	cd8_cytotoxic	2425	607	-0.0009065365344196556	-0.00010551998965945952	-0.000801016544760196	0.30134932533733133	0.6026986506746627
Wu discovery	CID4290	tcell_exhaustion	2425	607	0.007519027672905951	-0.00029191286509207097	0.007810940537998022	0.0004997501249375312	0.001999000499750125
Wu discovery	CID4290	tcell_ifng_response	2425	607	-0.001349588651296349	-0.0009001236057987333	-0.0004494650454976157	0.8705647176411794	0.8705647176411794
Wu discovery	CID4290	tcell_progenitor	2425	607	0.0005909352536743254	-8.830372439585718e-06	0.0005997656261139111	0.591704147926037	0.7889388639013827
Wu discovery	CID4465	cd8_cytotoxic	1207	302	0.037646925257832364	0.00023505988429203817	0.037411865373540326	0.0004997501249375312	0.0006663334999167083
Wu discovery	CID4465	tcell_exhaustion	1207	302	0.011053808472264004	0.0003563666436775456	0.010697441828586458	0.004997501249375313	0.004997501249375313
Wu discovery	CID4465	tcell_ifng_response	1207	302	0.09932054703328308	0.003089730183219841	0.09623081685006324	0.0004997501249375312	0.0006663334999167083
Wu discovery	CID4465	tcell_progenitor	1207	302	0.027292537212194018	-7.144662969561788e-05	0.027363983841889636	0.0004997501249375312	0.0006663334999167083
Wu discovery	CID44971	cd8_cytotoxic	1161	291	0.018660594062329394	0.04617203790343244	-0.027511443841103045	0.0004997501249375312	0.001999000499750125
Wu discovery	CID44971	tcell_exhaustion	1161	291	0.026652242258140182	0.030923653790441784	-0.004271411532301601	0.248375812093953	0.248375812093953
Wu discovery	CID44971	tcell_ifng_response	1161	291	0.17285190826262326	0.1354722586167292	0.03737964964589405	0.0024987506246876563	0.004997501249375313
Wu discovery	CID44971	tcell_progenitor	1161	291	0.025885776348330364	0.04177673295034487	-0.015890956602014505	0.053973013493253376	0.0719640179910045
Wu discovery	CID4535	cd8_cytotoxic	1104	276	0.0853023786101278	0.020094634445151416	0.06520774416497638	0.0004997501249375312	0.0004997501249375312
Wu discovery	CID4535	tcell_exhaustion	1104	276	0.03944232105845219	0.008498762615368055	0.030943558443084135	0.0004997501249375312	0.0004997501249375312
Wu discovery	CID4535	tcell_ifng_response	1104	276	0.09160231813422082	0.019329055819143626	0.07227326231507719	0.0004997501249375312	0.0004997501249375312
Wu discovery	CID4535	tcell_progenitor	1104	276	0.08652243794231412	0.028359553391609255	0.05816288455070487	0.0004997501249375312	0.0004997501249375312
Figshare validation	P1	cd8_cytotoxic	2702	676	0.013339558424001932	0.001100520829732235	0.012239037594269697	0.0004997501249375312	0.0009995002498750624
Figshare validation	P1	tcell_exhaustion	2702	676	0.004918961464814853	-0.0006606908370323725	0.005579652301847225	0.0024987506246876563	0.0033316674995835416
