cohort	target	spatial_units	positive_units	positive_fraction	mean_excess_over_null	cohort_permutation_p	directional_sign_test_p	fdr_within_cohort
Wu discovery	cd8_cytotoxic	6	4	0.6666666666666666	0.021286010206100704	0.0004997501249375312	0.6875	0.0004997501249375312
Wu discovery	tcell_exhaustion	6	5	0.8333333333333334	0.01109733113354979	0.0004997501249375312	0.21875	0.0004997501249375312
Wu discovery	tcell_ifng_response	6	5	0.8333333333333334	0.05560995700788477	0.0004997501249375312	0.21875	0.0004997501249375312
Wu discovery	tcell_progenitor	6	5	0.8333333333333334	0.01760167680850194	0.0004997501249375312	0.21875	0.0004997501249375312
Figshare validation	cd8_cytotoxic	8	8	1.0	0.007195230535815032	0.0004997501249375312	0.0078125	0.0006663334999167083
Figshare validation	tcell_exhaustion	8	8	1.0	0.005226026538939789	0.0004997501249375312	0.0078125	0.0006663334999167083
Figshare validation	tcell_ifng_response	8	8	1.0	0.019654802636582633	0.0004997501249375312	0.0078125	0.0006663334999167083
Figshare validation	tcell_progenitor	8	7	0.875	0.005495528997626358	0.010494752623688156	0.0703125	0.010494752623688156
TNBC94 extension	cd8_cytotoxic	94	70	0.7446808510638298	0.008750798533272174	0.0004997501249375312	2.2027598315502487e-06	0.0004997501249375312
TNBC94 extension	tcell_exhaustion	94	72	0.7659574468085106	0.00518638977631359	0.0004997501249375312	2.2605981543610277e-07	0.0004997501249375312
TNBC94 extension	tcell_ifng_response	94	77	0.8191489361702128	0.016002338055870514	0.0004997501249375312	2.7046423167464105e-10	0.0004997501249375312
TNBC94 extension	tcell_progenitor	94	68	0.723404255319149	0.0076139489080101815	0.0004997501249375312	1.7316912262453792e-05	0.0004997501249375312
